Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-10
Test time,00:06:44
E(lx),9.98
Candle E(fc),0.93
CCT(K),100000
Duv,-0.01072
CIE x,0.1452
CIE y,0.0813
CIE u,0.1575
CIE v,0.1324
CIE u',0.1575
CIE v',0.1986
SDCM,100.00
Ra,-17.3
R1,-1
R2,22
R3,-77
R4,-71
R5,20
R6,11
R7,-11
R8,-31
R9,-99
R10,-69
R11,-99
R12,-5
R13,7
R14,2
R15,9
Ee(mW/c©O),0.010
S/P,10.699
Dominant(nm),469.40
Purity(%),90.6
Half width(nm),24.2
Peak(nm),457.7
Center(nm),459.5
Centroid(nm),468.7
R ratio(%),0.1
G ratio(%),9.4
B ratio(%),90.6
CIE1931 X,26.078
CIE1931 Y,14.613
CIE1931 Z,138.954
TLCI-2012,2
Integral Time(ms),1000.00
Peak Signal,46984
Dark Signal,2466
Compensate level,2862
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000018,
416,0.000018,
417,0.000140,
418,0.000796,
419,0.000888,
420,0.001951,
421,0.002338,
422,0.005555,
423,0.009972,
424,0.015998,
425,0.020973,
426,0.027715,
427,0.036928,
428,0.052087,
429,0.074212,
430,0.100646,
431,0.131237,
432,0.164233,
433,0.201057,
434,0.243555,
435,0.293455,
436,0.343209,
437,0.407490,
438,0.478893,
439,0.557046,
440,0.645300,
441,0.741427,
442,0.846108,
443,0.958286,
444,1.079524,
445,1.212032,
446,1.357468,
447,1.518410,
448,1.697360,
449,1.889423,
450,2.093112,
451,2.298050,
452,2.501454,
453,2.695757,
454,2.883175,
455,3.048104,
456,3.180882,
457,3.262578,
458,3.297031,
459,3.291533,
460,3.242614,
461,3.152580,
462,3.028877,
463,2.887185,
464,2.726732,
465,2.565222,
466,2.404693,
467,2.253352,
468,2.122542,
469,2.000679,
470,1.890741,
471,1.779526,
472,1.674113,
473,1.569360,
474,1.480634,
475,1.377939,
476,1.276659,
477,1.181230,
478,1.093114,
479,1.010228,
480,0.930431,
481,0.855099,
482,0.785619,
483,0.724253,
484,0.669916,
485,0.620584,
486,0.576483,
487,0.542115,
488,0.508933,
489,0.480097,
490,0.452045,
491,0.426358,
492,0.398411,
493,0.372561,
494,0.350486,
495,0.328460,
496,0.310645,
497,0.292672,
498,0.280824,
499,0.268871,
500,0.258925,
501,0.247674,
502,0.234509,
503,0.223880,
504,0.215750,
505,0.210317,
506,0.203206,
507,0.196941,
508,0.193135,
509,0.189200,
510,0.185543,
511,0.177654,
512,0.170726,
513,0.165305,
514,0.160606,
515,0.156671,
516,0.154809,
517,0.151947,
518,0.151151,
519,0.150560,
520,0.149033,
521,0.147324,
522,0.143048,
523,0.142352,
524,0.142893,
525,0.143893,
526,0.142819,
527,0.141715,
528,0.139679,
529,0.138663,
530,0.136449,
531,0.136019,
532,0.136153,
533,0.136670,
534,0.135873,
535,0.135862,
536,0.135180,
537,0.132062,
538,0.128419,
539,0.124238,
540,0.121703,
541,0.120537,
542,0.120092,
543,0.120604,
544,0.119772,
545,0.118545,
546,0.116361,
547,0.112943,
548,0.108297,
549,0.103203,
550,0.099752,
551,0.099183,
552,0.099335,
553,0.098283,
554,0.095363,
555,0.090863,
556,0.085949,
557,0.081451,
558,0.078229,
559,0.077436,
560,0.076809,
561,0.075537,
562,0.072673,
563,0.072056,
564,0.072431,
565,0.071293,
566,0.066020,
567,0.058631,
568,0.053487,
569,0.052856,
570,0.053295,
571,0.052972,
572,0.050461,
573,0.047218,
574,0.044149,
575,0.041798,
576,0.039782,
577,0.037766,
578,0.036215,
579,0.032910,
580,0.029528,
581,0.025341,
582,0.023195,
583,0.020947,
584,0.018314,
585,0.015429,
586,0.011997,
587,0.008609,
588,0.005441,
589,0.004634,
590,0.006309,
591,0.005977,
592,0.005108,
593,0.002294,
594,0.001690,
595,0.001416,
596,0.001864,
597,0.002580,
598,0.002320,
599,0.001987,
600,0.000708,
601,0.000015,
602,0.000000,
603,0.000000,
604,0.000000,
605,0.000000,
606,0.000000,
607,0.000000,
608,0.000000,
609,0.000000,
610,0.000000,
611,0.000000,
612,0.000000,
613,0.000000,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000000,
619,0.000000,
620,0.000000,
621,0.000000,
622,0.000000,
623,0.000000,
624,0.000000,
625,0.000000,
626,0.000000,
627,0.000000,
628,0.000000,
629,0.000000,
630,0.000000,
631,0.000000,
632,0.000000,
633,0.000000,
634,0.000000,
635,0.000000,
636,0.000000,
637,0.000000,
