Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-10
Test time,01:01:13
E(lx),0.11
Candle E(fc),0.01
CCT(K),100000
Duv,-0.02576
CIE x,0.1489
CIE y,0.0685
CIE u,0.1690
CIE v,0.1166
CIE u',0.1690
CIE v',0.1749
SDCM,100.00
Ra,-21.5
R1,17
R2,8
R3,-99
R4,-78
R5,33
R6,4
R7,-27
R8,-30
R9,-99
R10,-99
R11,-99
R12,-20
R13,19
R14,-10
R15,25
Ee(mW/c©O),0.000
S/P,11.792
Dominant(nm),466.60
Purity(%),91.7
Half width(nm),19.2
Peak(nm),455.7
Center(nm),458.4
Centroid(nm),482.7
R ratio(%),6.6
G ratio(%),6.6
B ratio(%),86.8
CIE1931 X,0.340
CIE1931 Y,0.156
CIE1931 Z,1.788
TLCI-2012,6
Integral Time(ms),5000.00
Peak Signal,7325
Dark Signal,3969
Compensate level,2854
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000027,
381,0.000051,
382,0.001592,
383,0.002159,
384,0.002093,
385,0.001317,
386,0.000081,
387,0.000035,
388,0.000413,
389,0.001196,
390,0.001156,
391,0.001098,
392,0.000086,
393,0.000000,
394,0.000025,
395,0.000124,
396,0.000349,
397,0.000359,
398,0.000259,
399,0.000081,
400,0.000032,
401,0.000214,
402,0.000551,
403,0.001057,
404,0.000894,
405,0.000793,
406,0.000074,
407,0.000037,
408,0.000022,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000034,
414,0.000045,
415,0.000044,
416,0.000026,
417,0.000052,
418,0.000134,
419,0.000132,
420,0.000117,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000013,
425,0.000013,
426,0.000013,
427,0.000003,
428,0.000000,
429,0.000332,
430,0.000967,
431,0.002173,
432,0.002640,
433,0.002450,
434,0.001412,
435,0.000488,
436,0.000160,
437,0.000502,
438,0.002011,
439,0.003635,
440,0.005719,
441,0.007519,
442,0.009072,
443,0.010613,
444,0.011326,
445,0.013141,
446,0.014714,
447,0.017178,
448,0.020627,
449,0.025253,
450,0.031169,
451,0.035520,
452,0.038127,
453,0.040708,
454,0.043587,
455,0.046841,
456,0.047855,
457,0.047570,
458,0.046799,
459,0.046028,
460,0.044491,
461,0.042275,
462,0.040495,
463,0.039116,
464,0.037482,
465,0.034802,
466,0.032185,
467,0.028946,
468,0.026853,
469,0.024280,
470,0.022904,
471,0.020872,
472,0.019886,
473,0.018802,
474,0.017224,
475,0.016299,
476,0.014933,
477,0.013176,
478,0.012207,
479,0.011904,
