Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-10
Test time,01:00:11
E(lx),0.13
Candle E(fc),0.01
CCT(K),100000
Duv,-0.02228
CIE x,0.1500
CIE y,0.0740
CIE u,0.1672
CIE v,0.1237
CIE u',0.1672
CIE v',0.1856
SDCM,100.00
Ra,-16.6
R1,10
R2,22
R3,-88
R4,-75
R5,29
R6,16
R7,-17
R8,-30
R9,-99
R10,-78
R11,-99
R12,0
R13,19
R14,-1
R15,20
Ee(mW/c©O),0.000
S/P,10.794
Dominant(nm),467.30
Purity(%),90.5
Half width(nm),17.9
Peak(nm),454.6
Center(nm),457.3
Centroid(nm),481.3
R ratio(%),5.7
G ratio(%),8.5
B ratio(%),85.8
CIE1931 X,0.400
CIE1931 Y,0.197
CIE1931 Z,2.071
TLCI-2012,4
Integral Time(ms),5000.00
Peak Signal,8161
Dark Signal,4114
Compensate level,2856
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000729,
383,0.001151,
384,0.001610,
385,0.001305,
386,0.000527,
387,0.000150,
388,0.000278,
389,0.000876,
390,0.000847,
391,0.000817,
392,0.000075,
393,0.000009,
394,0.000033,
395,0.000033,
396,0.000178,
397,0.000201,
398,0.000196,
399,0.000095,
400,0.000031,
401,0.000127,
402,0.000599,
403,0.001217,
404,0.001126,
405,0.000958,
406,0.000077,
407,0.000030,
408,0.000018,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000096,
413,0.000121,
414,0.000119,
415,0.000061,
416,0.000000,
417,0.000040,
418,0.000082,
419,0.000081,
420,0.000066,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000190,
430,0.000670,
431,0.001901,
432,0.002214,
433,0.002012,
434,0.000956,
435,0.000167,
436,0.000037,
437,0.000630,
438,0.002166,
439,0.003623,
440,0.005977,
441,0.008037,
442,0.010110,
443,0.012369,
444,0.014135,
445,0.017654,
446,0.020980,
447,0.024956,
448,0.029929,
449,0.036058,
450,0.043184,
451,0.048586,
452,0.051790,
453,0.054563,
454,0.056575,
455,0.058573,
456,0.058356,
457,0.056547,
458,0.054073,
459,0.051286,
460,0.047691,
461,0.044008,
462,0.041115,
463,0.038851,
464,0.037279,
465,0.035116,
466,0.032737,
467,0.029450,
468,0.026973,
469,0.024631,
470,0.023223,
471,0.021322,
472,0.019803,
473,0.018457,
474,0.017084,
475,0.015891,
476,0.014499,
477,0.012556,
478,0.011587,
479,0.011609,
480,0.010844,
481,0.009033,
482,0.007374,
483,0.006487,
484,0.006552,
485,0.005778,
486,0.004149,
487,0.002717,
488,0.002526,
489,0.003110,
490,0.004114,
491,0.005099,
492,0.004500,
493,0.003721,
494,0.003317,
495,0.002098,
496,0.001901,
497,0.001102,
498,0.001387,
499,0.002089,
500,0.003129,
501,0.003141,
502,0.002314,
503,0.001929,
504,0.002531,
505,0.003094,
506,0.002846,
507,0.001708,
508,0.002507,
509,0.002943,
510,0.003105,
511,0.002472,
512,0.001469,
513,0.000962,
514,0.001177,
515,0.001886,
516,0.002908,
517,0.002882,
518,0.002064,
519,0.001042,
520,0.000608,
521,0.000646,
522,0.000554,
523,0.000857,
524,0.001275,
525,0.001427,
526,0.001908,
527,0.002442,
528,0.002037,
529,0.001623,
530,0.000804,
531,0.001305,
532,0.001986,
533,0.002043,
534,0.002137,
535,0.003342,
536,0.004344,
537,0.004078,
538,0.002920,
539,0.001286,
540,0.000744,
541,0.000718,
542,0.001529,
543,0.003230,
544,0.003882,
545,0.004484,
546,0.003557,
547,0.002522,
548,0.001479,
549,0.000372,
550,0.000307,
551,0.000794,
552,0.001401,
553,0.001607,
554,0.001149,
555,0.000420,
556,0.000097,
557,0.000058,
558,0.000000,
559,0.000060,
560,0.000158,
561,0.000399,
562,0.000378,
563,0.001299,
564,0.002579,
565,0.003344,
566,0.002853,
567,0.001318,
568,0.000214,
569,0.000604,
570,0.000826,
571,0.000863,
572,0.000583,
573,0.000151,
574,0.000144,
575,0.000210,
576,0.000212,
577,0.000543,
578,0.001105,
579,0.001068,
580,0.000842,
581,0.000574,
582,0.000611,
583,0.000612,
584,0.000480,
585,0.000000,
586,0.000000,
587,0.000000,
588,0.000000,
589,0.000000,
590,0.000000,
591,0.000000,
592,0.000078,
593,0.000104,
594,0.000169,
595,0.000159,
596,0.000394,
597,0.000402,
598,0.000363,
599,0.000193,
600,0.000000,
601,0.000000,
602,0.000000,
603,0.000000,
604,0.000000,
605,0.000000,
606,0.000000,
607,0.000000,
608,0.000000,
609,0.000000,
610,0.000027,
611,0.000055,
612,0.000056,
613,0.000056,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000007,
619,0.000046,
620,0.000046,
621,0.000046,
622,0.000013,
623,0.000000,
624,0.000000,
625,0.000000,
626,0.000000,
627,0.000000,
628,0.000027,
629,0.000398,
630,0.000421,
631,0.000423,
632,0.000199,
633,0.000000,
634,0.000000,
635,0.000000,
636,0.000000,
637,0.000020,
