Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-10
Test time,01:46:02
E(lx),40.50
Candle E(fc),3.76
CCT(K),16881
Duv,0.06071
CIE x,0.2063
CIE y,0.3237
CIE u,0.1275
CIE v,0.3001
CIE u',0.1275
CIE v',0.4501
SDCM,92.36
Ra,45.8
R1,16
R2,56
R3,79
R4,24
R5,35
R6,55
R7,78
R8,23
R9,-99
R10,18
R11,10
R12,37
R13,22
R14,82
R15,8
Ee(mW/c©O),0.013
S/P,3.379
Dominant(nm),490.70
Purity(%),43.6
Half width(nm),133.3
Peak(nm),436.5
Center(nm),496.9
Centroid(nm),503.4
R ratio(%),2.2
G ratio(%),48.3
B ratio(%),49.5
CIE1931 X,37.801
CIE1931 Y,59.294
CIE1931 Z,86.097
TLCI-2012,12
Integral Time(ms),5000.00
Peak Signal,65534
Dark Signal,3853
Compensate level,2848
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.006252,
381,0.009848,
382,0.013957,
383,0.016655,
384,0.017335,
385,0.014978,
386,0.009637,
387,0.005329,
388,0.003500,
389,0.005455,
390,0.006702,
391,0.009585,
392,0.008747,
393,0.009444,
394,0.008792,
395,0.007812,
396,0.008190,
397,0.008370,
398,0.008760,
399,0.009050,
400,0.009538,
401,0.011140,
402,0.012723,
403,0.014847,
404,0.014652,
405,0.014966,
406,0.014684,
407,0.014482,
408,0.015483,
409,0.016965,
410,0.020900,
411,0.025763,
412,0.030193,
413,0.034567,
414,0.037608,
415,0.042167,
416,0.048391,
417,0.057179,
418,0.067705,
419,0.077576,
420,0.090082,
421,0.105172,
422,0.124627,
423,0.148576,
424,0.176359,
425,0.208182,
426,0.244829,
427,0.287694,
428,0.338320,
429,0.398275,
430,0.467199,
431,0.545607,
432,0.637345,
433,0.750566,
434,0.868635,
435,0.964021,
436,1.015271,
437,1.028896,
438,1.025168,
439,1.018017,
440,1.010869,
441,1.005037,
442,1.000388,
443,0.995958,
444,0.992674,
445,0.988989,
446,0.985474,
447,0.981868,
448,0.977225,
449,0.971003,
450,0.963733,
451,0.957622,
452,0.952000,
453,0.946697,
454,0.940627,
455,0.934738,
456,0.930582,
457,0.926465,
458,0.923214,
459,0.921430,
460,0.918337,
461,0.915865,
462,0.913382,
463,0.911352,
464,0.909632,
465,0.908551,
466,0.908494,
467,0.908567,
468,0.908083,
469,0.906747,
470,0.905386,
471,0.903966,
472,0.902720,
473,0.901240,
474,0.902031,
475,0.901260,
476,0.900587,
477,0.899021,
478,0.896239,
479,0.892520,
480,0.889397,
481,0.885517,
482,0.882427,
483,0.879144,
484,0.875537,
485,0.871380,
486,0.867434,
487,0.865573,
488,0.862677,
489,0.860044,
490,0.858075,
491,0.856488,
492,0.856351,
493,0.856731,
494,0.857581,
495,0.858643,
496,0.859724,
497,0.860488,
498,0.861467,
499,0.861548,
500,0.860951,
501,0.861034,
502,0.861580,
503,0.862015,
504,0.861880,
505,0.860993,
506,0.860134,
507,0.860768,
508,0.859288,
509,0.858157,
510,0.856499,
511,0.855534,
512,0.855009,
513,0.854891,
514,0.854750,
515,0.854965,
516,0.856136,
517,0.857396,
518,0.858910,
519,0.860160,
520,0.861986,
521,0.863652,
522,0.865620,
523,0.867150,
524,0.868724,
525,0.871867,
526,0.874747,
527,0.877215,
528,0.880330,
529,0.882516,
530,0.884750,
531,0.885819,
532,0.887206,
533,0.887774,
534,0.888842,
535,0.889225,
536,0.889819,
537,0.890723,
538,0.892697,
539,0.895950,
540,0.898331,
541,0.899764,
542,0.899756,
543,0.899486,
544,0.899321,
545,0.899317,
546,0.900432,
547,0.901186,
548,0.896524,
549,0.860414,
550,0.802298,
551,0.743822,
552,0.695074,
553,0.671044,
554,0.658575,
555,0.647568,
556,0.636643,
557,0.626911,
558,0.618222,
559,0.609982,
560,0.601629,
561,0.592675,
562,0.582405,
563,0.573092,
564,0.563352,
565,0.553200,
566,0.541061,
567,0.526607,
568,0.513063,
569,0.502572,
570,0.494489,
571,0.483379,
572,0.470186,
573,0.456039,
574,0.442983,
575,0.431823,
576,0.418942,
577,0.405959,
578,0.391984,
579,0.377425,
580,0.364621,
581,0.350326,
582,0.336591,
583,0.321999,
584,0.306651,
585,0.292799,
586,0.277993,
587,0.263706,
588,0.250866,
589,0.238679,
590,0.229060,
591,0.216347,
592,0.204442,
593,0.194669,
594,0.183855,
595,0.171519,
596,0.159702,
597,0.147870,
598,0.138703,
599,0.127577,
600,0.115460,
601,0.103943,
602,0.095379,
603,0.090181,
604,0.085311,
605,0.082881,
606,0.078768,
607,0.075668,
608,0.072342,
609,0.067592,
610,0.064929,
611,0.062413,
612,0.059955,
613,0.057124,
614,0.053092,
615,0.051413,
616,0.050667,
617,0.049455,
618,0.048869,
619,0.047639,
620,0.046680,
621,0.043830,
622,0.040251,
623,0.037490,
624,0.037826,
625,0.037634,
626,0.036298,
627,0.035054,
628,0.034441,
629,0.036577,
630,0.036803,
631,0.034698,
632,0.031800,
633,0.028769,
634,0.027294,
635,0.026140,
636,0.025414,
637,0.025937,
638,0.025993,
639,0.026607,
640,0.024782,
641,0.024655,
642,0.023944,
643,0.023496,
644,0.021979,
645,0.020022,
646,0.018838,
647,0.017209,
648,0.016170,
649,0.015295,
650,0.014880,
651,0.013734,
652,0.013199,
653,0.012085,
654,0.011890,
