Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-10
Test time,01:37:05
E(lx),0.14
Candle E(fc),0.01
CCT(K),100000
Duv,-0.03532
CIE x,0.1492
CIE y,0.0584
CIE u,0.1754
CIE v,0.1030
CIE u',0.1754
CIE v',0.1546
SDCM,100.00
Ra,-27.0
R1,14
R2,0
R3,-99
R4,-86
R5,29
R6,-4
R7,-34
R8,-36
R9,-99
R10,-99
R11,-99
R12,-35
R13,14
R14,-16
R15,24
Ee(mW/c©O),0.000
S/P,13.116
Dominant(nm),464.60
Purity(%),93.4
Half width(nm),20.1
Peak(nm),454.6
Center(nm),456.4
Centroid(nm),474.5
R ratio(%),4.3
G ratio(%),5.3
B ratio(%),90.3
CIE1931 X,0.510
CIE1931 Y,0.200
CIE1931 Z,2.710
TLCI-2012,4
Integral Time(ms),5000.00
Peak Signal,8434
Dark Signal,3490
Compensate level,2852
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000004,
382,0.001346,
383,0.001614,
384,0.001607,
385,0.000833,
386,0.000084,
387,0.000041,
388,0.000227,
389,0.000518,
390,0.000561,
391,0.000861,
392,0.000524,
393,0.000476,
394,0.000282,
395,0.000155,
396,0.000342,
397,0.000345,
398,0.000235,
399,0.000047,
400,0.000176,
401,0.000975,
402,0.001774,
403,0.002210,
404,0.001568,
405,0.000807,
406,0.000084,
407,0.000063,
408,0.000037,
409,0.000000,
410,0.000004,
411,0.000010,
412,0.000009,
413,0.000009,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000068,
418,0.000221,
419,0.000219,
420,0.000205,
421,0.000004,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000245,
430,0.000830,
431,0.001603,
432,0.001796,
433,0.001377,
434,0.000747,
435,0.000174,
436,0.000239,
437,0.001446,
438,0.004043,
439,0.007131,
440,0.010896,
441,0.014747,
442,0.018487,
443,0.022143,
444,0.024874,
445,0.029060,
446,0.033160,
447,0.037704,
448,0.042845,
449,0.049054,
450,0.056313,
451,0.061813,
452,0.064886,
453,0.067292,
454,0.069389,
455,0.071575,
456,0.071004,
457,0.068749,
458,0.066112,
459,0.063144,
460,0.059263,
461,0.054864,
462,0.051130,
463,0.048793,
464,0.047133,
465,0.044630,
466,0.041950,
467,0.038311,
468,0.035717,
469,0.033138,
470,0.031540,
471,0.029508,
472,0.027880,
473,0.026126,
474,0.023782,
475,0.021711,
476,0.019612,
477,0.017403,
478,0.016114,
479,0.015314,
480,0.013821,
481,0.011402,
482,0.009445,
483,0.008402,
484,0.008544,
485,0.007805,
486,0.005621,
487,0.003661,
488,0.002589,
489,0.003069,
490,0.003973,
491,0.004516,
492,0.003700,
493,0.003150,
494,0.003140,
495,0.002342,
496,0.001596,
497,0.000530,
498,0.000859,
499,0.001573,
500,0.002640,
501,0.002615,
502,0.001909,
503,0.001673,
504,0.002221,
505,0.002523,
506,0.002193,
507,0.001069,
508,0.001427,
509,0.001758,
510,0.002040,
511,0.001942,
512,0.001363,
513,0.000857,
514,0.000546,
515,0.000996,
516,0.002160,
517,0.002334,
518,0.002039,
519,0.000759,
520,0.000243,
521,0.000242,
522,0.000191,
523,0.000274,
524,0.000542,
525,0.000800,
526,0.001345,
527,0.002028,
528,0.001691,
529,0.001533,
530,0.000947,
531,0.001036,
532,0.001176,
533,0.001010,
534,0.001321,
535,0.002874,
536,0.003552,
537,0.003111,
538,0.001819,
539,0.000621,
540,0.000551,
541,0.000669,
