Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-10
Test time,01:36:36
E(lx),648.13
Candle E(fc),60.21
CCT(K),100000
Duv,-0.00514
CIE x,0.1611
CIE y,0.1115
CIE u,0.1605
CIE v,0.1666
CIE u',0.1605
CIE v',0.2498
SDCM,100.00
Ra,14.5
R1,25
R2,58
R3,-30
R4,-33
R5,42
R6,54
R7,14
R8,-14
R9,-99
R10,2
R11,-48
R12,49
R13,42
R14,27
R15,24
Ee(mW/c©O),0.495
S/P,7.422
Dominant(nm),470.70
Purity(%),81.5
Half width(nm),21.9
Peak(nm),453.5
Center(nm),456.2
Centroid(nm),473.4
R ratio(%),0.5
G ratio(%),16.6
B ratio(%),82.9
CIE1931 X,1371.721
CIE1931 Y,948.953
CIE1931 Z,6192.828
TLCI-2012,7
Integral Time(ms),27.00
Peak Signal,54801
Dark Signal,2143
Compensate level,2870
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000194,
414,0.008910,
415,0.058553,
416,0.163513,
417,0.320339,
418,0.526142,
419,0.763702,
420,1.056313,
421,1.383987,
422,1.774989,
423,2.222981,
424,2.767987,
425,3.402133,
426,4.122650,
427,4.989644,
428,6.003568,
429,7.196976,
430,8.537454,
431,10.040531,
432,11.794997,
433,13.811668,
434,16.184181,
435,18.859537,
436,21.547333,
437,24.848694,
438,28.380455,
439,32.327637,
440,36.729027,
441,41.784485,
442,47.293140,
443,53.539635,
444,60.784172,
445,69.073441,
446,78.292427,
447,88.422501,
448,99.109802,
449,109.688377,
450,119.443268,
451,128.490479,
452,136.536087,
453,142.337738,
454,145.410538,
455,145.564545,
456,143.682465,
457,139.836838,
458,134.961639,
459,129.757263,
460,123.562675,
461,116.933922,
462,109.663925,
463,102.326599,
464,95.077522,
465,88.421616,
466,82.947960,
467,78.023903,
468,73.756035,
469,69.670380,
470,65.779549,
471,61.582176,
472,57.320694,
473,53.092361,
474,49.510895,
475,45.571529,
476,41.758129,
477,38.370407,
478,35.396622,
479,32.761551,
480,30.459379,
481,28.435560,
482,26.775440,
483,25.316063,
484,24.053123,
485,22.939028,
486,21.963179,
487,21.149019,
488,20.221109,
489,19.341116,
490,18.558359,
491,17.834635,
492,17.181335,
493,16.577793,
494,16.016130,
495,15.492677,
496,15.002575,
497,14.573018,
498,14.282490,
499,14.000835,
500,13.703441,
501,13.437959,
502,13.197321,
503,13.013899,
504,12.849688,
505,12.641903,
506,12.438836,
507,12.290806,
508,12.126513,
509,11.996824,
510,11.865069,
511,11.741005,
512,11.609761,
513,11.473710,
514,11.348888,
515,11.260555,
516,11.205003,
517,11.156483,
518,11.105083,
519,11.035918,
520,10.985497,
521,10.960861,
522,10.949533,
523,10.947845,
524,10.888493,
525,10.836365,
526,10.771032,
527,10.724154,
528,10.702159,
529,10.656397,
530,10.622840,
531,10.600672,
532,10.590393,
533,10.562922,
534,10.493203,
535,10.408816,
536,10.354017,
537,10.307020,
538,10.269568,
539,10.207231,
540,10.111585,
541,10.012630,
542,9.906969,
543,9.831564,
544,9.747408,
545,9.660062,
546,9.577112,
547,9.465617,
548,9.370647,
549,9.246661,
550,9.120921,
551,9.019320,
552,8.931697,
553,8.836052,
554,8.709788,
555,8.543579,
556,8.377005,
557,8.217981,
558,8.103796,
559,7.960645,
560,7.838997,
561,7.704987,
562,7.563955,
563,7.443708,
564,7.284805,
565,7.133134,
566,6.973698,
567,6.813627,
568,6.651262,
569,6.478112,
570,6.313631,
571,6.139197,
572,5.958782,
573,5.788422,
574,5.621977,
575,5.473766,
576,5.308432,
577,5.138678,
578,4.965438,
579,4.792019,
580,4.643312,
581,4.471660,
582,4.308376,
583,4.135413,
584,3.977435,
585,3.836442,
586,3.685771,
587,3.527250,
588,3.372660,
589,3.225765,
590,3.081707,
591,2.915102,
592,2.743150,
593,2.612402,
594,2.488389,
595,2.373676,
596,2.243535,
597,2.106935,
598,1.977060,
599,1.823963,
600,1.667923,
601,1.534388,
602,1.429545,
603,1.355605,
604,1.262309,
605,1.189239,
606,1.123982,
607,1.068008,
608,1.010848,
609,0.943424,
610,0.883379,
611,0.839079,
612,0.777664,
613,0.719414,
614,0.665219,
615,0.606204,
616,0.558372,
617,0.521660,
618,0.493402,
619,0.463302,
620,0.434957,
621,0.404810,
622,0.381267,
623,0.335102,
624,0.283438,
625,0.215697,
626,0.172399,
627,0.141523,
628,0.105060,
629,0.082247,
630,0.056979,
631,0.040043,
632,0.031806,
633,0.019244,
634,0.006870,
635,0.001589,
636,0.000000,
637,0.000000,
