Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-10
Test time,01:44:53
E(lx),1.97
Candle E(fc),0.18
CCT(K),100000
Duv,0.00386
CIE x,0.1551
CIE y,0.1156
CIE u,0.1521
CIE v,0.1701
CIE u',0.1521
CIE v',0.2552
SDCM,100.00
Ra,9.9
R1,9
R2,57
R3,-27
R4,-42
R5,31
R6,50
R7,16
R8,-15
R9,-99
R10,12
R11,-62
R12,50
R13,25
R14,28
R15,13
Ee(mW/c©O),0.001
S/P,7.548
Dominant(nm),472.40
Purity(%),82.7
Half width(nm),21.7
Peak(nm),455.7
Center(nm),457.2
Centroid(nm),475.0
R ratio(%),0.5
G ratio(%),17.0
B ratio(%),82.5
CIE1931 X,3.861
CIE1931 Y,2.878
CIE1931 Z,18.161
TLCI-2012,4
Integral Time(ms),5000.00
Peak Signal,34057
Dark Signal,3975
Compensate level,2852
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.001106,
383,0.001475,
384,0.001577,
385,0.001016,
386,0.000190,
387,0.000079,
388,0.000141,
389,0.000403,
390,0.000390,
391,0.000376,
392,0.000023,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000086,
402,0.000507,
403,0.000996,
404,0.000954,
405,0.000758,
406,0.000063,
407,0.000027,
408,0.000016,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000252,
413,0.000384,
414,0.000391,
415,0.000250,
416,0.000158,
417,0.000384,
418,0.000731,
419,0.000642,
420,0.000500,
421,0.000033,
422,0.000069,
423,0.000647,
424,0.001555,
425,0.001811,
426,0.001757,
427,0.002360,
428,0.004458,
429,0.008885,
430,0.013895,
431,0.019492,
432,0.024309,
433,0.028320,
434,0.031487,
435,0.035129,
436,0.039691,
437,0.048097,
438,0.059511,
439,0.071764,
440,0.085635,
441,0.100390,
442,0.116650,
443,0.134966,
444,0.155234,
445,0.179835,
446,0.206890,
447,0.236623,
448,0.268544,
449,0.302787,
450,0.337926,
451,0.370577,
452,0.398627,
453,0.421015,
454,0.437100,
455,0.446244,
456,0.447337,
457,0.439580,
458,0.425295,
459,0.408277,
460,0.385363,
461,0.360918,
462,0.337680,
463,0.315903,
464,0.296188,
465,0.277868,
466,0.261886,
467,0.247443,
468,0.234360,
469,0.221785,
470,0.209640,
471,0.197326,
472,0.185086,
473,0.172697,
474,0.161605,
475,0.150100,
476,0.138833,
477,0.127760,
478,0.117914,
479,0.109934,
480,0.102668,
481,0.095368,
482,0.088799,
483,0.083431,
484,0.079872,
485,0.076122,
486,0.071606,
487,0.067371,
488,0.063669,
489,0.061691,
490,0.060513,
491,0.059648,
492,0.057085,
493,0.054708,
494,0.053509,
495,0.051362,
496,0.049569,
497,0.046971,
498,0.045767,
499,0.045249,
500,0.045567,
501,0.045247,
502,0.043596,
503,0.042725,
504,0.042493,
505,0.042527,
506,0.041299,
507,0.038902,
508,0.039050,
509,0.038927,
510,0.039148,
511,0.038235,
512,0.036496,
513,0.035593,
514,0.035247,
515,0.035435,
516,0.036903,
517,0.036626,
518,0.035666,
519,0.034213,
520,0.033015,
521,0.033012,
522,0.033075,
523,0.034106,
524,0.035171,
525,0.035465,
526,0.035830,
527,0.036816,
528,0.036560,
529,0.036303,
530,0.035365,
531,0.035859,
532,0.036179,
533,0.035818,
534,0.035342,
535,0.036713,
536,0.038168,
537,0.037544,
538,0.036201,
539,0.033880,
540,0.032385,
541,0.031524,
542,0.031741,
543,0.033411,
544,0.034248,
545,0.035068,
546,0.034140,
547,0.032610,
548,0.030695,
549,0.028033,
550,0.026541,
551,0.026866,
552,0.027488,
553,0.028269,
554,0.027262,
555,0.025348,
556,0.023432,
557,0.022614,
558,0.021840,
559,0.022114,
560,0.022887,
561,0.023294,
562,0.022196,
563,0.022249,
564,0.023036,
565,0.024186,
566,0.022777,
567,0.018697,
568,0.015719,
569,0.015505,
570,0.016606,
571,0.016732,
572,0.016121,
573,0.014728,
574,0.014532,
575,0.014061,
576,0.013746,
577,0.013736,
578,0.013459,
579,0.012635,
580,0.011590,
581,0.010892,
582,0.010564,
583,0.009472,
584,0.007072,
585,0.005129,
586,0.003846,
587,0.003263,
588,0.003134,
589,0.002938,
590,0.003512,
591,0.003079,
592,0.003471,
593,0.003558,
594,0.004139,
595,0.003584,
596,0.003233,
597,0.002967,
598,0.002717,
599,0.002130,
600,0.000805,
601,0.000136,
602,0.000107,
603,0.000143,
604,0.000175,
605,0.000606,
606,0.000556,
607,0.000629,
608,0.000358,
609,0.000088,
610,0.000159,
611,0.000235,
612,0.000237,
613,0.000217,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000016,
619,0.000076,
620,0.000076,
621,0.000077,
622,0.000018,
623,0.000000,
624,0.000050,
625,0.000067,
626,0.000067,
627,0.000051,
628,0.000074,
629,0.000673,
630,0.000703,
631,0.000707,
632,0.000288,
633,0.000000,
634,0.000000,
635,0.000000,
636,0.000000,
637,0.000064,
638,0.000112,
