Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-10
Test time,01:35:58
E(lx),0.19
Candle E(fc),0.02
CCT(K),100000
Duv,-0.00516
CIE x,0.1551
CIE y,0.1028
CIE u,0.1581
CIE v,0.1572
CIE u',0.1581
CIE v',0.2358
SDCM,100.00
Ra,6.8
R1,16
R2,49
R3,-40
R4,-46
R5,35
R6,44
R7,9
R8,-13
R9,-99
R10,-11
R11,-68
R12,40
R13,29
R14,22
R15,23
Ee(mW/c©O),0.000
S/P,8.187
Dominant(nm),470.60
Purity(%),84.6
Half width(nm),18.6
Peak(nm),455.7
Center(nm),456.9
Centroid(nm),486.7
R ratio(%),6.2
G ratio(%),13.7
B ratio(%),80.1
CIE1931 X,0.413
CIE1931 Y,0.274
CIE1931 Z,1.977
TLCI-2012,8
Integral Time(ms),5000.00
Peak Signal,7560
Dark Signal,3925
Compensate level,2852
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000995,
383,0.001492,
384,0.001838,
385,0.001417,
386,0.000438,
387,0.000164,
388,0.000427,
389,0.001200,
390,0.001160,
391,0.001090,
392,0.000084,
393,0.000064,
394,0.000415,
395,0.000409,
396,0.000397,
397,0.000042,
398,0.000001,
399,0.000000,
400,0.000000,
401,0.000053,
402,0.000502,
403,0.001130,
404,0.001088,
405,0.000953,
406,0.000043,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000100,
413,0.000217,
414,0.000237,
415,0.000174,
416,0.000064,
417,0.000138,
418,0.000361,
419,0.000357,
420,0.000316,
421,0.000003,
422,0.000000,
423,0.000000,
424,0.000147,
425,0.000146,
426,0.000144,
427,0.000036,
428,0.000014,
429,0.000500,
430,0.001154,
431,0.002614,
432,0.003185,
433,0.003414,
434,0.002580,
435,0.001499,
436,0.000803,
437,0.001209,
438,0.003609,
439,0.006338,
440,0.009507,
441,0.011791,
442,0.013754,
443,0.015657,
444,0.017045,
445,0.019913,
446,0.022142,
447,0.024929,
448,0.028241,
449,0.033308,
450,0.039419,
451,0.044174,
452,0.046844,
453,0.048833,
454,0.050475,
455,0.052178,
456,0.051380,
457,0.049775,
458,0.047199,
459,0.044701,
460,0.041603,
461,0.038315,
462,0.035725,
463,0.033790,
464,0.032493,
465,0.030979,
466,0.029566,
467,0.027341,
468,0.025440,
469,0.023077,
470,0.021656,
471,0.019806,
472,0.018908,
473,0.018173,
474,0.016906,
475,0.016090,
476,0.014973,
477,0.013534,
478,0.012889,
479,0.013109,
480,0.012336,
481,0.010635,
482,0.008770,
483,0.007887,
484,0.008291,
485,0.007864,
486,0.006173,
487,0.004380,
488,0.003371,
489,0.003799,
490,0.004960,
491,0.006334,
492,0.006027,
493,0.005477,
494,0.005242,
495,0.004084,
496,0.003597,
497,0.002404,
498,0.002546,
499,0.003180,
500,0.004379,
501,0.004510,
502,0.003527,
503,0.003240,
504,0.003878,
505,0.004708,
506,0.004475,
507,0.003049,
508,0.003568,
509,0.003861,
510,0.004418,
511,0.004231,
512,0.003374,
513,0.002577,
514,0.002464,
515,0.002858,
516,0.004187,
517,0.004086,
518,0.003140,
519,0.001849,
520,0.001151,
521,0.001378,
522,0.001480,
523,0.002178,
524,0.002881,
525,0.002916,
526,0.003383,
527,0.004160,
528,0.003585,
529,0.003251,
530,0.002210,
531,0.002741,
532,0.003404,
533,0.003346,
534,0.003329,
535,0.004853,
536,0.006224,
537,0.005698,
538,0.004451,
539,0.002501,
540,0.001859,
541,0.001706,
542,0.002431,
543,0.004309,
544,0.005053,
545,0.005858,
546,0.005216,
547,0.004436,
548,0.003494,
549,0.001802,
550,0.001204,
551,0.001863,
552,0.002755,
553,0.003412,
554,0.002552,
555,0.001315,
556,0.000388,
557,0.000218,
558,0.000050,
559,0.000298,
560,0.000902,
561,0.001449,
562,0.001470,
563,0.002159,
564,0.003290,
565,0.004326,
566,0.003759,
567,0.001975,
568,0.000478,
569,0.000891,
570,0.001121,
571,0.001182,
572,0.000843,
573,0.000426,
574,0.000572,
575,0.000693,
576,0.000789,
577,0.001335,
578,0.001737,
579,0.001549,
580,0.001185,
581,0.001030,
582,0.001375,
583,0.001426,
584,0.001065,
585,0.000234,
586,0.000002,
587,0.000000,
588,0.000000,
589,0.000000,
590,0.000000,
591,0.000000,
592,0.000121,
593,0.000281,
594,0.000508,
595,0.000506,
596,0.000764,
597,0.000594,
598,0.000518,
599,0.000274,
600,0.000017,
601,0.000003,
602,0.000119,
603,0.000160,
604,0.000177,
605,0.000377,
606,0.000268,
607,0.000270,
608,0.000126,
609,0.000000,
610,0.000049,
611,0.000082,
612,0.000082,
613,0.000074,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000029,
619,0.000155,
620,0.000155,
621,0.000156,
622,0.000039,
623,0.000000,
624,0.000056,
625,0.000077,
626,0.000078,
627,0.000060,
628,0.000033,
629,0.000558,
630,0.000600,
631,0.000603,
632,0.000301,
633,0.000000,
634,0.000000,
635,0.000000,
636,0.000000,
637,0.000112,
