Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-09
Test time,23:32:53
E(lx),1.89
Candle E(fc),0.18
CCT(K),100000
Duv,-0.00172
CIE x,0.1493
CIE y,0.0992
CIE u,0.1535
CIE v,0.1529
CIE u',0.1535
CIE v',0.2294
SDCM,100.00
Ra,-3.5
R1,7
R2,39
R3,-56
R4,-55
R5,29
R6,31
R7,0
R8,-23
R9,-99
R10,-33
R11,-78
R12,22
R13,20
R14,13
R15,13
Ee(mW/c©O),0.002
S/P,8.978
Dominant(nm),471.10
Purity(%),86.7
Half width(nm),24.2
Peak(nm),458.2
Center(nm),459.7
Centroid(nm),473.0
R ratio(%),0.6
G ratio(%),12.8
B ratio(%),86.6
CIE1931 X,4.177
CIE1931 Y,2.774
CIE1931 Z,21.017
TLCI-2012,3
Integral Time(ms),5000.00
Peak Signal,37051
Dark Signal,3479
Compensate level,2836
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000989,
383,0.001500,
384,0.001611,
385,0.001159,
386,0.000172,
387,0.000042,
388,0.000192,
389,0.000566,
390,0.000547,
391,0.000528,
392,0.000037,
393,0.000014,
394,0.000056,
395,0.000055,
396,0.000053,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000006,
401,0.000029,
402,0.000338,
403,0.000934,
404,0.000892,
405,0.000868,
406,0.000056,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000031,
411,0.000077,
412,0.000191,
413,0.000289,
414,0.000232,
415,0.000164,
416,0.000149,
417,0.000320,
418,0.000711,
419,0.000632,
420,0.000542,
421,0.000239,
422,0.000232,
423,0.000962,
424,0.002727,
425,0.003842,
426,0.004235,
427,0.004921,
428,0.006805,
429,0.011956,
430,0.018262,
431,0.025601,
432,0.031893,
433,0.036774,
434,0.040623,
435,0.044663,
436,0.049654,
437,0.058619,
438,0.070658,
439,0.083944,
440,0.098089,
441,0.112097,
442,0.126578,
443,0.142781,
444,0.159147,
445,0.179099,
446,0.200483,
447,0.224263,
448,0.251124,
449,0.280602,
450,0.312076,
451,0.342963,
452,0.372622,
453,0.402228,
454,0.430162,
455,0.455270,
456,0.474153,
457,0.486967,
458,0.492754,
459,0.492475,
460,0.484487,
461,0.470848,
462,0.453588,
463,0.433331,
464,0.411089,
465,0.387615,
466,0.365313,
467,0.343008,
468,0.323484,
469,0.304695,
470,0.288120,
471,0.271949,
472,0.256746,
473,0.241947,
474,0.228917,
475,0.214527,
476,0.199762,
477,0.185213,
478,0.171764,
479,0.159831,
480,0.148160,
481,0.135749,
482,0.124814,
483,0.115617,
484,0.108909,
485,0.101503,
486,0.093348,
487,0.086692,
488,0.080388,
489,0.076611,
490,0.073852,
491,0.072087,
492,0.068559,
493,0.064690,
494,0.061731,
495,0.057480,
496,0.054421,
497,0.050472,
498,0.048276,
499,0.047037,
500,0.046784,
501,0.045546,
502,0.042949,
503,0.040916,
504,0.039944,
505,0.039637,
506,0.038616,
507,0.036258,
508,0.036368,
509,0.036080,
510,0.035768,
511,0.035042,
512,0.033657,
513,0.032453,
514,0.032178,
515,0.031822,
516,0.032939,
517,0.032632,
518,0.031132,
519,0.029631,
520,0.028886,
521,0.029145,
522,0.029211,
523,0.029496,
524,0.030155,
525,0.029787,
526,0.030073,
527,0.030580,
528,0.029676,
529,0.029411,
530,0.028617,
531,0.029157,
532,0.029522,
533,0.028691,
534,0.028157,
535,0.029892,
536,0.031217,
537,0.030472,
538,0.028833,
539,0.026217,
540,0.025262,
541,0.024502,
542,0.025033,
543,0.027119,
544,0.027935,
545,0.029069,
546,0.027939,
547,0.026404,
548,0.024792,
549,0.022367,
550,0.021237,
551,0.021695,
552,0.022046,
553,0.022676,
554,0.021836,
555,0.020008,
556,0.018251,
557,0.017481,
558,0.017168,
559,0.017860,
560,0.018802,
561,0.019442,
562,0.018698,
563,0.018559,
564,0.019108,
565,0.020015,
566,0.018976,
567,0.015333,
568,0.012485,
569,0.012373,
570,0.013343,
571,0.013670,
572,0.012961,
573,0.011861,
574,0.011946,
575,0.011479,
576,0.011324,
577,0.011096,
578,0.011238,
579,0.010566,
580,0.010102,
581,0.009720,
582,0.009547,
583,0.008693,
584,0.006595,
585,0.004568,
586,0.003040,
587,0.002220,
588,0.002382,
589,0.002345,
590,0.002739,
591,0.001933,
592,0.001883,
593,0.002244,
594,0.002918,
595,0.002843,
596,0.002866,
597,0.002609,
598,0.002466,
599,0.001933,
600,0.000653,
601,0.000175,
602,0.000086,
603,0.000115,
604,0.000157,
605,0.000715,
606,0.000742,
607,0.000814,
608,0.000473,
609,0.000110,
610,0.000059,
611,0.000074,
612,0.000075,
613,0.000075,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000022,
619,0.000102,
620,0.000102,
621,0.000103,
622,0.000023,
623,0.000000,
624,0.000192,
625,0.000279,
626,0.000280,
627,0.000228,
628,0.000057,
629,0.000510,
630,0.000512,
631,0.000515,
632,0.000186,
633,0.000000,
634,0.000000,
635,0.000000,
636,0.000000,
637,0.000109,
