Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-09
Test time,23:43:51
E(lx),0.22
Candle E(fc),0.02
CCT(K),100000
Duv,-0.01152
CIE x,0.1478
CIE y,0.0841
CIE u,0.1592
CIE v,0.1359
CIE u',0.1592
CIE v',0.2038
SDCM,100.00
Ra,-11.9
R1,15
R2,22
R3,-79
R4,-64
R5,32
R6,15
R7,-13
R8,-23
R9,-99
R10,-77
R11,-89
R12,0
R13,20
R14,2
R15,22
Ee(mW/c©O),0.000
S/P,10.353
Dominant(nm),469.30
Purity(%),89.4
Half width(nm),20.8
Peak(nm),458.8
Center(nm),459.2
Centroid(nm),483.5
R ratio(%),5.7
G ratio(%),9.2
B ratio(%),85.2
CIE1931 X,0.577
CIE1931 Y,0.328
CIE1931 Z,2.995
TLCI-2012,7
Integral Time(ms),5000.00
Peak Signal,8711
Dark Signal,3291
Compensate level,2836
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000026,
381,0.000049,
382,0.001003,
383,0.001641,
384,0.002951,
385,0.002641,
386,0.001526,
387,0.000490,
388,0.000396,
389,0.001061,
390,0.001027,
391,0.000961,
392,0.000062,
393,0.000024,
394,0.000109,
395,0.000153,
396,0.000150,
397,0.000061,
398,0.000010,
399,0.000000,
400,0.000033,
401,0.000258,
402,0.000840,
403,0.001641,
404,0.001459,
405,0.001280,
406,0.000218,
407,0.000135,
408,0.000079,
409,0.000005,
410,0.000058,
411,0.000113,
412,0.000195,
413,0.000211,
414,0.000124,
415,0.000073,
416,0.000029,
417,0.000199,
418,0.000573,
419,0.000556,
420,0.000499,
421,0.000019,
422,0.000000,
423,0.000000,
424,0.000056,
425,0.000055,
426,0.000055,
427,0.000014,
428,0.000000,
429,0.000329,
430,0.000955,
431,0.002652,
432,0.003382,
433,0.003791,
434,0.002548,
435,0.001338,
436,0.000605,
437,0.001080,
438,0.003214,
439,0.005653,
440,0.008921,
441,0.011480,
442,0.013824,
443,0.016113,
444,0.017600,
445,0.021082,
446,0.024256,
447,0.028421,
448,0.033768,
449,0.040155,
450,0.047576,
451,0.053644,
452,0.058018,
453,0.062719,
454,0.067338,
455,0.071622,
456,0.073753,
457,0.074491,
458,0.075188,
459,0.075281,
460,0.073918,
461,0.071455,
462,0.068757,
463,0.066108,
464,0.063788,
465,0.060156,
466,0.056286,
467,0.051721,
468,0.048288,
469,0.044983,
470,0.042716,
471,0.039633,
472,0.037357,
473,0.035263,
474,0.033074,
475,0.031337,
476,0.029393,
477,0.026732,
478,0.024844,
479,0.023782,
480,0.022270,
481,0.019671,
482,0.016982,
483,0.015126,
484,0.014925,
485,0.013401,
486,0.010762,
487,0.007697,
488,0.006105,
489,0.006597,
490,0.007944,
491,0.009704,
492,0.009178,
493,0.008416,
494,0.008089,
495,0.006293,
496,0.005201,
497,0.003377,
498,0.003165,
499,0.003831,
500,0.005100,
501,0.005074,
502,0.003941,
503,0.003408,
504,0.003905,
505,0.004660,
506,0.004379,
507,0.003122,
508,0.004082,
509,0.004767,
510,0.005070,
511,0.004550,
512,0.003501,
513,0.002791,
514,0.002721,
515,0.002714,
516,0.004035,
517,0.004019,
518,0.003422,
519,0.002398,
520,0.001824,
521,0.001979,
522,0.001871,
523,0.002022,
524,0.002624,
525,0.002765,
526,0.003419,
527,0.004346,
528,0.003798,
529,0.003384,
530,0.002503,
531,0.002911,
532,0.003367,
533,0.003130,
534,0.002945,
535,0.004450,
536,0.005836,
537,0.005314,
538,0.003985,
539,0.002250,
540,0.001669,
541,0.001660,
542,0.002480,
543,0.004223,
544,0.004808,
545,0.005180,
546,0.004170,
547,0.003139,
548,0.002578,
549,0.001301,
550,0.001243,
551,0.001866,
552,0.002534,
553,0.003035,
554,0.002127,
555,0.000865,
556,0.000207,
557,0.000239,
558,0.000294,
559,0.000611,
560,0.000868,
561,0.001093,
562,0.000989,
563,0.001460,
564,0.002740,
565,0.003693,
566,0.003215,
567,0.001666,
568,0.000333,
569,0.000697,
570,0.000951,
571,0.001057,
572,0.000915,
573,0.000543,
574,0.000572,
575,0.000526,
576,0.000435,
577,0.000788,
578,0.001247,
579,0.001168,
580,0.001060,
581,0.001167,
582,0.001435,
583,0.001388,
584,0.000876,
585,0.000077,
586,0.000000,
587,0.000020,
588,0.000040,
589,0.000060,
590,0.000081,
591,0.000041,
592,0.000241,
593,0.000574,
594,0.000845,
595,0.000830,
596,0.001066,
597,0.000835,
598,0.000747,
599,0.000417,
600,0.000009,
601,0.000001,
602,0.000037,
603,0.000050,
604,0.000064,
605,0.000279,
606,0.000256,
607,0.000294,
608,0.000156,
609,0.000045,
610,0.000054,
611,0.000085,
612,0.000085,
613,0.000086,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000014,
619,0.000057,
620,0.000057,
621,0.000057,
622,0.000011,
623,0.000000,
624,0.000195,
625,0.000294,
626,0.000296,
627,0.000248,
628,0.000098,
629,0.000666,
