Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-09
Test time,23:45:13
E(lx),1.57
Candle E(fc),0.15
CCT(K),100000
Duv,0.00086
CIE x,0.1472
CIE y,0.0996
CIE u,0.1509
CIE v,0.1532
CIE u',0.1509
CIE v',0.2298
SDCM,100.00
Ra,-5.5
R1,4
R2,36
R3,-56
R4,-58
R5,26
R6,27
R7,0
R8,-23
R9,-99
R10,-37
R11,-82
R12,19
R13,15
R14,12
R15,11
Ee(mW/c©O),0.001
S/P,9.152
Dominant(nm),471.50
Purity(%),87.2
Half width(nm),24.4
Peak(nm),458.8
Center(nm),460.3
Centroid(nm),473.8
R ratio(%),0.8
G ratio(%),12.5
B ratio(%),86.7
CIE1931 X,3.394
CIE1931 Y,2.297
CIE1931 Z,17.365
TLCI-2012,3
Integral Time(ms),5000.00
Peak Signal,32083
Dark Signal,3768
Compensate level,2846
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000586,
383,0.000868,
384,0.000909,
385,0.000641,
386,0.000086,
387,0.000030,
388,0.000194,
389,0.000570,
390,0.000551,
391,0.000625,
392,0.000152,
393,0.000111,
394,0.000061,
395,0.000000,
396,0.000020,
397,0.000024,
398,0.000024,
399,0.000011,
400,0.000026,
401,0.000232,
402,0.000678,
403,0.001136,
404,0.000993,
405,0.000731,
406,0.000073,
407,0.000041,
408,0.000024,
409,0.000000,
410,0.000044,
411,0.000108,
412,0.000106,
413,0.000129,
414,0.000032,
415,0.000032,
416,0.000090,
417,0.000252,
418,0.000712,
419,0.000662,
420,0.000580,
421,0.000037,
422,0.000000,
423,0.000263,
424,0.001135,
425,0.001307,
426,0.001438,
427,0.001752,
428,0.003131,
429,0.006677,
430,0.010779,
431,0.015914,
432,0.020002,
433,0.023300,
434,0.025734,
435,0.028022,
436,0.031207,
437,0.037627,
438,0.047351,
439,0.058089,
440,0.069354,
441,0.080241,
442,0.091861,
443,0.104730,
444,0.118361,
445,0.135212,
446,0.153378,
447,0.173918,
448,0.196874,
449,0.222024,
450,0.249387,
451,0.276174,
452,0.301754,
453,0.327647,
454,0.352953,
455,0.376196,
456,0.394632,
457,0.407309,
458,0.414381,
459,0.415993,
460,0.411415,
461,0.402007,
462,0.388250,
463,0.372623,
464,0.354467,
465,0.334941,
466,0.315216,
467,0.296158,
468,0.279347,
469,0.264347,
470,0.250603,
471,0.236964,
472,0.223562,
473,0.210620,
474,0.199302,
475,0.187416,
476,0.175414,
477,0.162892,
478,0.151177,
479,0.140717,
480,0.130678,
481,0.120008,
482,0.110556,
483,0.102454,
484,0.096069,
485,0.089310,
486,0.081987,
487,0.075719,
488,0.070317,
489,0.067200,
490,0.064858,
491,0.063445,
492,0.059794,
493,0.056546,
494,0.054235,
495,0.050484,
496,0.047625,
497,0.044178,
498,0.042519,
499,0.041451,
500,0.041033,
501,0.039637,
502,0.037203,
503,0.035656,
504,0.035169,
505,0.035404,
506,0.034370,
507,0.032105,
508,0.031763,
509,0.031153,
510,0.030980,
511,0.029783,
512,0.028093,
513,0.026303,
514,0.025732,
515,0.025477,
516,0.026862,
517,0.026720,
518,0.025800,
519,0.024529,
520,0.023622,
521,0.023686,
522,0.023642,
523,0.024055,
524,0.024698,
525,0.024539,
526,0.024882,
527,0.025486,
528,0.024917,
529,0.024343,
530,0.023576,
531,0.023749,
532,0.023983,
533,0.023334,
534,0.022919,
535,0.024746,
536,0.026274,
537,0.025751,
538,0.024339,
539,0.022256,
540,0.021342,
541,0.020739,
542,0.021128,
543,0.022979,
544,0.023841,
545,0.024907,
546,0.023807,
547,0.022337,
548,0.020574,
549,0.017897,
550,0.016547,
551,0.017150,
552,0.017638,
553,0.018618,
554,0.017753,
555,0.016178,
556,0.014577,
557,0.013812,
558,0.013287,
559,0.013532,
560,0.014258,
561,0.014718,
562,0.014407,
563,0.014963,
564,0.016148,
565,0.017272,
566,0.015600,
567,0.011648,
568,0.008928,
569,0.009281,
570,0.010528,
571,0.010550,
572,0.009517,
573,0.008019,
574,0.007946,
575,0.007834,
576,0.007853,
577,0.007971,
578,0.008114,
579,0.007260,
580,0.006621,
581,0.006409,
582,0.006792,
583,0.006226,
584,0.004187,
585,0.002078,
586,0.000975,
587,0.000806,
588,0.000961,
589,0.000968,
590,0.001146,
591,0.000820,
592,0.001196,
593,0.001425,
594,0.001958,
595,0.001913,
596,0.001593,
597,0.001339,
598,0.001124,
599,0.000790,
600,0.000223,
601,0.000025,
602,0.000083,
603,0.000111,
604,0.000112,
605,0.000217,
606,0.000172,
607,0.000242,
608,0.000239,
609,0.000154,
610,0.000118,
611,0.000059,
612,0.000038,
613,0.000039,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000035,
619,0.000222,
620,0.000223,
621,0.000224,
622,0.000061,
623,0.000000,
624,0.000022,
625,0.000030,
626,0.000030,
627,0.000023,
628,0.000039,
629,0.000443,
630,0.000448,
631,0.000450,
632,0.000180,
633,0.000036,
634,0.000061,
635,0.000061,
636,0.000049,
637,0.000208,
