Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:10:00
E(lx),1.22
Candle E(fc),0.11
CCT(K),100000
Duv,0.03578
CIE x,0.1618
CIE y,0.1821
CIE u,0.1332
CIE v,0.2247
CIE u',0.1332
CIE v',0.3371
SDCM,95.51
Ra,28.4
R1,11
R2,66
R3,21
R4,-14
R5,33
R6,64
R7,42
R8,4
R9,-99
R10,48
R11,-31
R12,55
R13,23
R14,52
R15,11
Ee(mW/c©O),0.001
S/P,5.625
Dominant(nm),479.10
Purity(%),71.9
Half width(nm),23.0
Peak(nm),456.2
Center(nm),460.3
Centroid(nm),492.5
R ratio(%),3.5
G ratio(%),26.4
B ratio(%),70.1
CIE1931 X,1.589
CIE1931 Y,1.788
CIE1931 Z,6.440
TLCI-2012,7
Integral Time(ms),5000.00
Peak Signal,14982
Dark Signal,3763
Compensate level,2830
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000113,
381,0.000378,
382,0.001803,
383,0.002582,
384,0.003600,
385,0.002895,
386,0.001420,
387,0.000422,
388,0.000326,
389,0.000804,
390,0.000777,
391,0.000967,
392,0.000317,
393,0.000351,
394,0.000474,
395,0.000329,
396,0.000320,
397,0.000013,
398,0.000039,
399,0.000046,
400,0.000082,
401,0.000201,
402,0.000505,
403,0.001226,
404,0.001135,
405,0.001197,
406,0.000328,
407,0.000152,
408,0.000271,
409,0.000193,
410,0.000377,
411,0.000585,
412,0.000806,
413,0.001129,
414,0.000731,
415,0.000550,
416,0.000392,
417,0.000529,
418,0.001198,
419,0.001037,
420,0.000887,
421,0.000045,
422,0.000000,
423,0.000033,
424,0.000292,
425,0.000289,
426,0.000269,
427,0.000060,
428,0.000000,
429,0.000187,
430,0.000768,
431,0.002423,
432,0.003385,
433,0.004048,
434,0.003359,
435,0.002047,
436,0.001327,
437,0.002307,
438,0.005730,
439,0.009696,
440,0.014324,
441,0.018132,
442,0.021845,
443,0.026037,
444,0.029823,
445,0.036985,
446,0.044738,
447,0.054457,
448,0.066262,
449,0.079551,
450,0.094800,
451,0.109038,
452,0.121730,
453,0.134922,
454,0.147080,
455,0.157170,
456,0.162487,
457,0.163882,
458,0.163122,
459,0.160543,
460,0.154459,
461,0.146231,
462,0.137685,
463,0.130574,
464,0.123765,
465,0.116965,
466,0.110463,
467,0.104528,
468,0.100246,
469,0.096025,
470,0.092783,
471,0.088696,
472,0.084739,
473,0.080596,
474,0.076516,
475,0.072766,
476,0.069288,
477,0.064478,
478,0.060352,
479,0.057526,
480,0.054443,
481,0.050546,
482,0.047108,
483,0.044793,
484,0.044127,
485,0.042209,
486,0.039050,
487,0.036315,
488,0.034638,
489,0.034741,
490,0.034799,
491,0.035886,
492,0.034989,
493,0.035044,
494,0.035359,
495,0.033083,
496,0.031085,
497,0.028489,
498,0.028066,
499,0.028901,
500,0.030631,
501,0.030828,
502,0.029545,
503,0.028684,
504,0.028412,
505,0.029226,
506,0.029050,
507,0.027284,
508,0.027898,
509,0.027654,
510,0.027297,
511,0.026480,
512,0.024977,
513,0.023997,
514,0.024173,
515,0.024019,
516,0.025389,
517,0.024864,
518,0.023380,
519,0.022010,
520,0.021625,
521,0.022709,
522,0.023446,
523,0.024212,
524,0.024784,
525,0.024310,
526,0.024629,
527,0.025768,
528,0.025121,
529,0.024928,
530,0.024012,
531,0.024825,
532,0.025502,
533,0.024908,
534,0.024041,
535,0.025668,
536,0.027482,
537,0.027174,
538,0.025792,
539,0.023261,
540,0.022009,
541,0.021395,
542,0.022250,
543,0.024324,
544,0.025076,
545,0.026019,
546,0.024832,
547,0.023390,
548,0.021652,
549,0.019043,
550,0.017670,
551,0.018189,
552,0.019024,
553,0.020259,
554,0.019469,
555,0.017601,
556,0.015812,
557,0.015385,
558,0.014918,
559,0.015570,
560,0.016371,
561,0.017099,
562,0.016431,
563,0.016108,
564,0.016753,
565,0.018084,
566,0.016800,
567,0.012888,
568,0.010118,
569,0.010479,
570,0.011956,
571,0.012356,
572,0.011403,
573,0.010131,
574,0.009938,
575,0.009141,
576,0.009075,
577,0.009537,
578,0.010310,
