Types,OHSP-350
version,1.70.6
Describe,OHS
Test date,2026-07-13
Test time,20:22:29
E(lx),5.81
Candle E(fc),0.54
CCT(K),100000
Duv,0.03950
CIE x,0.1690
CIE y,0.2023
CIE u,0.1328
CIE v,0.2385
CIE u',0.1328
CIE v',0.3577
SDCM,92.26
Ra,33.4
R1,13
R2,68
R3,33
R4,-6
R5,35
R6,69
R7,49
R8,6
R9,-99
R10,54
R11,-20
R12,51
R13,26
R14,59
R15,9
Ee(mW/c©O),0.003
S/P,5.087
Dominant(nm),480.50
Purity(%),67.3
Half width(nm),24.2
Peak(nm),456.6
Center(nm),460.6
Centroid(nm),489.0
R ratio(%),0.7
G ratio(%),30.8
B ratio(%),68.5
CIE1931 X,7.105
CIE1931 Y,8.504
CIE1931 Z,26.435
TLCI-2012,5
Integral Time(ms),5000.00
Peak Signal,46552
Dark Signal,3292
Compensate level,2830
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000064,
382,0.001155,
383,0.001779,
384,0.002576,
385,0.002066,
386,0.000944,
387,0.000296,
388,0.000166,
389,0.000374,
390,0.000362,
391,0.000578,
392,0.000278,
393,0.000308,
394,0.000373,
395,0.000396,
396,0.000385,
397,0.000217,
398,0.000049,
399,0.000029,
400,0.000058,
401,0.000226,
402,0.000631,
403,0.001108,
404,0.000964,
405,0.000850,
406,0.000178,
407,0.000147,
408,0.000086,
409,0.000000,
410,0.000068,
411,0.000166,
412,0.000239,
413,0.000326,
414,0.000181,
415,0.000144,
416,0.000221,
417,0.000550,
418,0.001194,
419,0.001051,
420,0.000883,
421,0.000034,
422,0.000000,
423,0.000323,
424,0.000765,
425,0.000776,
426,0.000604,
427,0.000352,
428,0.000840,
429,0.003016,
430,0.006765,
431,0.011787,
432,0.016065,
433,0.019521,
434,0.021640,
435,0.024004,
436,0.027392,
437,0.035044,
438,0.046410,
439,0.059824,
440,0.074422,
441,0.089298,
442,0.105556,
443,0.124801,
444,0.146819,
445,0.175225,
446,0.207128,
447,0.243689,
448,0.285774,
449,0.333332,
450,0.385596,
451,0.436822,
452,0.485079,
453,0.531108,
454,0.573122,
455,0.607808,
456,0.631083,
457,0.640582,
458,0.639468,
459,0.629099,
460,0.608211,
461,0.581544,
462,0.551710,
463,0.521692,
464,0.491750,
465,0.464131,
466,0.440398,
467,0.420849,
468,0.405313,
469,0.390636,
470,0.376675,
471,0.361594,
472,0.346119,
473,0.329716,
474,0.314232,
475,0.296701,
476,0.279720,
477,0.263031,
478,0.247485,
479,0.234007,
480,0.221056,
481,0.208589,
482,0.198715,
483,0.191185,
484,0.185970,
485,0.179720,
486,0.173076,
487,0.167878,
488,0.163288,
489,0.160430,
490,0.158444,
491,0.157244,
492,0.154040,
493,0.150857,
494,0.148062,
495,0.143622,
496,0.140468,
497,0.137269,
498,0.136150,
499,0.135520,
500,0.136037,
501,0.134774,
502,0.132275,
503,0.130215,
504,0.128954,
505,0.128703,
506,0.127404,
507,0.124880,
508,0.124016,
509,0.122730,
510,0.121173,
511,0.119798,
512,0.118436,
513,0.117340,
514,0.116639,
515,0.115546,
516,0.116453,
517,0.115799,
518,0.114574,
519,0.112679,
520,0.112121,
521,0.112742,
522,0.113611,
523,0.114197,
524,0.114988,
525,0.114659,
526,0.114787,
527,0.115682,
528,0.115220,
529,0.115037,
530,0.114425,
531,0.115306,
532,0.116142,
533,0.115348,
534,0.114057,
535,0.115073,
536,0.116569,
537,0.115972,
538,0.114707,
539,0.112246,
540,0.110634,
541,0.109115,
542,0.109131,
543,0.110550,
544,0.110950,
545,0.111270,
546,0.109332,
547,0.107170,
548,0.104212,
549,0.100755,
550,0.097976,
551,0.097222,
552,0.096615,
553,0.096252,
554,0.094570,
555,0.091718,
556,0.088503,
557,0.086922,
558,0.085599,
559,0.085420,
560,0.085243,
561,0.084577,
562,0.082675,
563,0.081246,
564,0.080804,
565,0.080543,
566,0.077874,
567,0.072152,
568,0.067890,
569,0.066718,
570,0.066973,
571,0.065801,
572,0.063137,
573,0.059768,
574,0.058116,
575,0.055501,
576,0.053326,
577,0.051605,
578,0.050241,
579,0.047923,
580,0.045645,
581,0.043533,
582,0.041811,
583,0.038545,
584,0.033845,
585,0.029241,
586,0.026198,
587,0.024125,
588,0.023060,
589,0.021431,
590,0.020468,
591,0.018190,
592,0.016932,
593,0.015982,
594,0.015563,
595,0.013161,
596,0.011781,
597,0.010587,
598,0.010273,
599,0.009215,
600,0.006138,
601,0.003504,
602,0.002332,
603,0.002850,
604,0.002993,
605,0.004233,
606,0.003644,
607,0.003636,
608,0.002880,
609,0.001922,
610,0.001881,
611,0.001488,
612,0.001324,
613,0.000771,
614,0.000026,
615,0.000121,
616,0.000283,
617,0.000284,
618,0.000404,
619,0.000827,
620,0.000772,
621,0.000749,
622,0.000204,
623,0.000000,
624,0.000292,
625,0.000439,
626,0.000441,
627,0.000368,
628,0.000289,
629,0.001158,
630,0.001183,
631,0.001081,
632,0.000360,
633,0.000044,
634,0.000074,
635,0.000074,
636,0.000059,
637,0.000530,
638,0.000610,
639,0.000769,
640,0.000617,
