f_power,dz,pos_jitter,c550,omega,eta,blue__misfit,blue__level,blue__pattern,green__misfit,green__level,green__pattern,red__misfit,red__level,red__pattern,par__misfit,par__level,par__pattern
1.3,-0.16666666666666652,0.0,0.15,0.6833333333333333,2.0,1.9182383481347176,1.9182306332603083,0.4535873670134995,1.9298192539203867,1.9298142823304132,0.5776137596675321,2.918910275933255,2.897886166018552,0.6486555432633626,1.8994825312122314,1.8994149321505263,0.5065965330907248
1.3,-0.16666666666666652,0.0,0.85,0.6833333333333333,2.0,0.483268998965014,0.31429481349812566,0.6415179943937228,0.7910284894601112,0.765219468764449,0.6345307535290385,2.028079493917843,1.0923933530650256,1.5182075203296292,0.554640098676787,0.546838146403084,0.4928377050211912
0.9,-0.16666666666666652,0.0,0.85,0.6833333333333333,2.0,0.4644009157935517,0.07732715959959335,0.6218716137568657,0.5810362175239138,0.5154875038099543,0.5878175734825668,1.9869836014405229,1.3242662888956729,1.3898678977889423,0.48216582098852695,0.3405324869957502,0.5958739993085727
0.9,-0.16666666666666652,0.0,0.85,0.6833333333333333,-0.33333333333333326,0.8444032381172754,0.8443910225369333,0.5149825692602098,0.6370771916820109,0.36540675419490226,0.6398972756740661,1.7777709792146157,0.9237681568816063,1.474460136680929,0.797775726473712,0.7966354771780962,0.5692481332689365
0.9,-0.16666666666666652,0.0,0.85,0.95,-0.33333333333333326,1.7849756730236999,1.7847634885424206,0.46555259045275865,1.5286986571667918,1.5285963267312734,0.5396486083870775,2.7437787459344567,2.1968301669970045,1.1844636142344491,1.7148874020850726,1.7144440779477854,0.46434708291695437
0.9,-0.16666666666666652,1.3333333333333333,0.85,0.95,-0.33333333333333326,1.7747789861189014,1.7747789136950516,0.43743901879522257,1.581567945941616,1.5815655807445326,0.6415183120996996,2.699589442650441,2.443582165594818,0.915123867294043,1.7308252357045608,1.7308156681344151,0.44584555525448266
0.9,1.5,1.3333333333333333,0.85,0.95,-0.33333333333333326,1.8655744929133784,1.8654969575302112,0.48177843544598387,1.7666480229523949,1.7665036699102739,0.5571566406652283,2.7327302119791184,2.4512405870596283,0.8654532016644404,1.8527250547164749,1.852623585495659,0.5154450802506104
1.3,0.6666666666666665,0.0,1.2,0.95,-0.33333333333333326,1.7475972565183264,1.7475971586318018,0.46348688426767176,1.4504738227489444,1.4500058306181662,0.5637864512284094,2.95033991730215,2.3914500621881185,1.2016063026767314,1.6934201326267333,1.6933949651948454,0.47035535706479714
1.3,0.6666666666666665,0.0,1.2,0.95,2.0,1.3627070377290174,1.3230280506689962,0.5878796789052555,1.5513332082889497,1.5080036044783611,0.5785951880960452,2.991619789943101,2.6511019814741976,0.9551397605217901,1.4389469978520832,1.4376538948357254,0.4335358739947093
0.9,0.6666666666666665,0.0,1.2,0.95,2.0,1.1238388292955355,1.1162414385330734,0.6360967971881694,1.306034742479712,1.305339308139219,0.4382062719765082,2.7341776293796087,2.6665020607683108,0.673777720863675,1.2848183442181054,1.2847808163199161,0.41317905562348073
0.9,0.6666666666666665,0.0,1.2,0.6833333333333333,2.0,0.677937423024977,-0.60656130664641,0.6806171773082988,0.4496170767009923,0.11190906734754041,0.5563988575326364,2.0846484988905374,1.1210545549096973,1.6452561743337697,0.3855660011945155,-0.15183663019259386,0.6259702485177534
0.9,0.6666666666666665,1.3333333333333333,1.2,0.6833333333333333,2.0,0.8929657360697865,-0.758369928488687,0.9875450952164319,0.5381644311998103,0.13335131353885796,0.7688502362927214,1.5696267825667514,1.3959714653101032,0.8374476626469726,0.6595071485080874,-0.03910785637683745,0.9891189297127896
0.9,0.6666666666666665,1.3333333333333333,0.5,0.6833333333333333,2.0,1.06086808982051,1.0607975748207124,0.5069641701189932,1.2223476479748672,1.2220848542878233,0.5569928515279253,2.1781436993701084,2.092652453279137,1.1897326689969856,1.1750301921147366,1.1746855383679777,0.5017371827061514
0.9,-1.0,1.3333333333333333,0.5,0.6833333333333333,2.0,0.7989730556212511,0.7985319181239865,0.47612783485470056,1.0198112306227813,1.0196532078185707,0.7219464486007509,2.1120438378393693,2.111962884276515,0.8413349535528313,0.9386753300787443,0.9386553476559977,0.5662635257046803
1.3,-1.0,1.3333333333333333,1.2,0.8166666666666667,-1.5,1.1932705337618201,1.1932330297387217,0.7343923411322086,0.7538485115327994,0.7535978654284683,0.6303729272297741,2.6359438554920485,-0.7520421173980758,5.022385268176309,1.0923966747236624,1.092393252913837,0.651684857513868
1.3,0.6666666666666665,1.3333333333333333,1.2,0.8166666666666667,-1.5,1.4222766105972198,1.4216659065519903,0.4551346606631956,0.9968085237865538,0.9968073327134028,0.5294175795741033,2.723322747105344,1.25836126615917,2.269034658899076,1.348155713509737,1.347893190762492,0.4863344270727416
1.3,0.6666666666666665,0.0,1.2,0.8166666666666667,-1.5,1.3591060675992506,1.3590032708475563,0.47477677303396976,0.9676156701086608,0.9675693338359593,0.4604112933055351,2.742325252929447,-0.7224216885025458,5.13597723487838,1.2897354793153901,1.2893862593812506,0.47198915815486003
1.3,0.6666666666666665,0.0,1.2,0.55,-1.5,0.4776245074438943,0.3516746098109992,0.6801512001003955,0.5467883894116463,-0.2609212111942298,0.7059739832006013,4.497447117068476,-4.497150023051156,0.5550101019027813,0.4810690630687917,0.2596303542532896,0.7347337259971041
0.9,0.6666666666666665,0.0,1.2,0.55,-1.5,0.4551342998435278,0.12536486002152425,0.5624152894366602,0.7274476835798556,-0.5920354256424218,1.0159266563656228,4.334473801962656,-4.333184284159172,1.6994260577328564,0.3848628860359312,0.025810628116836654,0.565450229825314
0.9,0.6666666666666665,0.0,1.2,0.55,0.833333333333333,0.611453668432931,-0.6114536674224575,0.9682672603030656,0.7914721814594292,-0.7376242945051967,0.8236076019643378,1.0781029809492477,0.07127275105013176,1.5098135492430957,0.596914243841673,-0.5710572973418391,0.9021087827404897
0.9,0.6666666666666665,0.0,0.5,0.55,0.833333333333333,0.8171273380890446,0.8169348224952339,0.6432391696160904,0.9385740273889054,0.9385739890965501,0.38409133765341635,1.8297371103502102,1.3645408135365114,1.4086593257656832,0.8650094643178543,0.8649941595954844,0.5008123135472033
0.7,1.5,2.0,0.85,0.55,-1.5,0.9565388680924286,0.9564625352007113,0.5726018413085822,0.46883067863567784,0.2767001155639342,0.9207789775067476,1.4748188728896314,0.5956526057050133,1.641916195648012,0.834053134169782,0.8339269370161395,0.6292157903441689
0.7,1.5,2.0,0.15,0.55,-1.5,1.8158369739409357,1.8158346730183355,0.5055671750896457,1.628157045133012,1.6281507188594886,0.5935894131350253,2.7117360326050606,2.6424647490372206,0.6383201034734781,1.7832062404205824,1.7832047571267937,0.5290191237476785
1.1,1.5,2.0,0.15,0.55,-1.5,2.0387837356948095,2.0387802835459032,0.4732101393496188,1.81346350860049,1.8134396005970097,0.5347553349333504,2.75404957341058,2.7538115512829617,0.608224620246238,1.9898431962240735,1.9898427188422325,0.5148474054230973
1.1,1.5,2.0,0.15,0.55,0.833333333333333,1.8896486961962937,1.889648499192571,0.5161535154752555,1.8662591282640975,1.8657374702780691,0.428648683902525,2.831221233302721,2.830665105175643,0.6127557738734389,1.9035858966855683,1.9032783789126246,0.4888878569649747
1.1,1.5,2.0,0.15,0.8166666666666667,0.833333333333333,2.10032623324041,2.0999451408811547,0.48650561763109196,2.045037018807425,2.0447933290632174,0.6238083565411929,2.9430815113049063,2.942992726896102,0.631951776525877,2.110153860211555,2.1088935467330776,0.5173764151691898
1.1,-0.16666666666666652,2.0,0.15,0.8166666666666667,0.833333333333333,2.038402174492077,2.0384021307416074,0.5829980415461149,1.779361468193308,1.7793613177626895,0.5520538020940883,2.994666482219066,2.9946156301791325,0.5423750578176819,2.023947532823228,2.023745953301854,0.5560063411601467
1.1,-0.16666666666666652,0.6666666666666667,0.15,0.8166666666666667,0.833333333333333,2.0606586525021933,2.0606486349921815,0.552174294823156,1.9663388967991897,1.9660364396504617,0.5416046232146743,2.821440893944537,2.8212119893678533,0.4226234662218389,2.0566869309821474,2.056669692006313,0.5141819262233277
0.7,0.6666666666666665,0.0,0.15,0.55,0.833333333333333,1.648681956139027,1.6486609118630609,0.47177137438815026,1.530326595644587,1.5302545650819366,0.44844473603943447,2.4616098488801446,2.2824093078680727,0.8050104902534815,1.643969440613444,1.6437580118710953,0.4323352317594911
0.7,0.6666666666666665,0.0,0.15,0.8166666666666667,0.833333333333333,1.811204641347566,1.8110881736847957,0.5125292133802044,1.6695820906601644,1.6690210710398867,0.4112001345846547,2.6716777496247968,2.6716776311563386,0.4048017380889408,1.7781159320463176,1.7781120868322073,0.5192996503400523
0.7,-1.0,0.0,0.15,0.8166666666666667,0.833333333333333,1.7739101371564998,1.773688805721315,0.5766784953757325,1.6707614862488973,1.6707123384756115,0.5301042581879528,2.733688597852078,2.7019982350204335,0.570100238427712,1.7995300462649946,1.7995298119148444,0.5799956329665276
0.7,-1.0,1.3333333333333333,0.15,0.8166666666666667,0.833333333333333,1.787451337760287,1.7874502585245975,0.569216707529498,1.6160720760258207,1.6157769507379667,0.5270828966534763,2.727722536030345,2.7274847074944613,0.5995127353964801,1.7391560135775943,1.7391559606418798,0.5325662020073054
0.7,-1.0,1.3333333333333333,0.85,0.8166666666666667,0.833333333333333,0.8118736883780332,0.8117231532159659,0.5721168708199917,0.949646349193283,0.9496043480472657,0.5228899756502673,2.4035521422956996,1.7115939943499137,1.188431639006897,0.8941278110136427,0.8941156300863924,0.49495509493005796
1.1,-1.0,1.3333333333333333,0.85,0.8166666666666667,0.833333333333333,1.0072821271418988,1.0071469040916559,0.5734080586621407,1.1462152443693732,1.1461826214412807,0.5134073273972379,2.5698122307250113,1.9078886394938819,1.1884316390068967,1.0900162120207515,1.0900045306508235,0.49244706233123875
1.1,-1.0,1.3333333333333333,0.85,0.8166666666666667,-1.5,1.3886300876451885,1.3883050370391303,0.6127471464774599,1.0189652293641565,1.018685041791625,0.6979061641656323,2.065826850930265,1.3077125632310644,1.7576496979999872,1.2970151680787054,1.2967948989575653,0.5967863838702534
0.7,-1.0,0.0,0.5,0.8166666666666667,0.833333333333333,1.35508774314287,1.3549788528427582,0.5199630288901183,1.2500135779171444,1.2499691983212617,0.612272392837181,2.4988334543378765,2.4590061486732746,0.503973594852766,1.3543283029289666,1.3542681066586117,0.5044253250586516
1.1,-1.0,0.0,0.5,0.8166666666666667,0.833333333333333,1.4923328816992352,1.492327996347433,0.5188483890859915,1.3984397941243192,1.3982952553138337,0.47111162509069865,2.6646331680790256,2.3611085096185414,0.8948746367940106,1.486002249843021,1.485837295739056,0.5450729962666371
1.1,-1.0,0.0,0.5,0.55,0.833333333333333,0.7870225344107136,0.786266444359959,0.49037931525060685,0.780383984031138,0.761343514916437,0.4797582645070249,1.7219276342893193,1.5339211686935579,1.1647275211153627,0.8459389520729873,0.8457114977896443,0.5442144786054429
1.1,-1.0,0.0,0.5,0.55,-1.5,1.2257610509964092,1.2257608406995204,0.6720686880439705,0.8008952507315047,0.7993370403936129,0.548140153958922,1.8985188993496507,1.386557897253002,1.3335680886881935,1.1310934237049275,1.1309964460707547,0.6999375276120932
1.1,0.6666666666666665,0.0,0.5,0.55,-1.5,1.4314788954633617,1.4314617665414304,0.42699328798383146,0.9853588961103967,0.9845001239260831,0.5033180716893325,2.35459804815093,1.3238607721560616,2.0466862610503935,1.3759505408725352,1.3759143003489362,0.5140246551841876
1.1,0.6666666666666665,0.0,1.2,0.55,-1.5,0.5666108506769719,0.342766639629292,0.738511703637547,0.5775334918162626,-0.4107529506521552,0.8993184797465356,3.492277723334726,-2.5561669308073816,3.3083437911793885,0.5693591806651056,0.26152807636175324,0.692400966778001
1.1,0.6666666666666665,1.3333333333333333,1.2,0.55,-1.5,0.5237711323599373,0.28746283545024764,0.9001761639749579,0.5613384579414022,-0.4028149279827766,1.0073660872722596,3.2830423124191537,-2.4866043629342727,3.4235776802299878,0.49798069323028765,0.22641337946084433,0.8753609430073414
0.7,-1.0,0.0,0.15,0.95,2.0,1.9378831623036594,1.9378077488362888,0.553863610029543,1.7517938177407546,1.7517893457263198,0.6588338534859391,2.81365190722106,2.8136409760435193,0.5082461293182565,1.9374943013380153,1.9374677012079735,0.5710401832045854
0.7,-1.0,0.0,0.15,0.6833333333333333,2.0,1.5663394646522364,1.5662565663512595,0.46233224732767136,1.6109296317364532,1.61092948282461,0.6147488650479003,2.465520731645161,2.4647022037566275,0.7877038753785475,1.6241045043027766,1.6238338149221803,0.47739837525948414
0.7,-1.0,0.0,0.85,0.6833333333333333,2.0,0.4473163914440051,-0.21084706658341956,0.7302958898748054,0.47572190866452074,0.21664268206463355,0.6482151195541467,1.459251185409673,1.0342663380034873,1.1389917947636525,0.4704843889174359,0.0762476034320928,0.654893877259964
0.7,-1.0,1.3333333333333333,0.85,0.6833333333333333,2.0,0.5468931062325101,-0.179689914136093,0.8682510283311524,0.35758038921598706,0.3079133653205912,0.48935247663412057,1.5553983268228744,1.4413979564011135,1.2589162534092748,0.4386381994288188,0.11772221272086936,0.5406508269588143
0.7,0.6666666666666665,1.3333333333333333,0.85,0.6833333333333333,2.0,0.4464545055956355,0.1362306939602183,0.7106150118930895,0.524864796749721,0.4985805216250293,0.5515298378774204,2.04438789644515,1.841047936015462,0.6501798181863058,0.44572792817861173,0.34789708169373257,0.5972029377727274
1.1,0.6666666666666665,1.3333333333333333,0.85,0.6833333333333333,2.0,0.38989036299233304,0.3822936110250341,0.5866456064290024,0.7359194428942016,0.7356651552536481,0.45636414378413237,2.2605944893811727,1.6926583642442972,1.3763037138176122,0.588429234213194,0.5379455054895805,0.5043861630149903
1.1,0.6666666666666665,1.3333333333333333,0.85,0.6833333333333333,-0.33333333333333326,0.9768291036461554,0.976788420508771,0.5036866935795772,0.8772080861134717,0.8030280832663914,0.6421886554437573,1.5074533165626103,0.8293919799170378,1.1658300708456188,0.9302622695756955,0.9301151540274031,0.5450477200631986
1.1,-1.0,0.6666666666666667,1.2,0.6833333333333333,2.0,1.1897939308457877,-1.188589236968134,1.120743621156017,0.5324356316716259,-0.2507244970910694,0.8579895931273666,1.409328515059486,0.6721914820615642,1.2050323066039397,0.5966157819943848,-0.5082293858491014,0.7284704501999714
