band,metric,param,mu_star,sigma,mu_star_conf
blue,misfit,f_power,0.22169051772980403,0.15754387225378993,0.04699960032342147
blue,misfit,dz,0.25785752185822813,0.27639387197454207,0.07494619382825239
blue,misfit,pos_jitter,0.10260428716993489,0.13327801248283308,0.04077552307472273
blue,misfit,c550,1.1540268075053188,0.5609943680787265,0.21125752076983315
blue,misfit,omega,0.7907274585661485,0.6496104427076768,0.23193799760775569
blue,misfit,eta,0.5801477323753252,0.5020017562868514,0.09101654874734975
blue,level,f_power,0.2817304078860959,0.1566622844440518,0.03250444888398042
blue,level,dz,0.36158956305526724,0.2697762064782047,0.12346199705031245
blue,level,pos_jitter,0.10648898310348162,0.1363858921565233,0.03771936955695876
blue,level,c550,1.8733167358681933,0.8969200261656519,0.384710296381578
blue,level,omega,1.3262834757348256,0.8027971887688709,0.3455849966764829
blue,level,eta,0.7449602153378392,0.4238714405896645,0.18353150912973298
blue,pattern,f_power,0.0643550846702676,0.09904136131406885,0.028443538203621804
blue,pattern,dz,0.1907003400809617,0.18644723430852747,0.07126798197688133
blue,pattern,pos_jitter,0.1608662314995486,0.19185447661716107,0.060718158459141434
blue,pattern,c550,0.32447590591584957,0.22809187111170406,0.08705704037984778
blue,pattern,omega,0.1779488233410967,0.2224755437359322,0.08305537807180222
blue,pattern,eta,0.1716339062847501,0.221481462157922,0.08204257556078606
green,misfit,f_power,0.24600365099314697,0.18249952742869144,0.052507445787423314
green,misfit,dz,0.25343414640249495,0.24619073445286996,0.08355344138762005
green,misfit,pos_jitter,0.16422611149054336,0.18728468643590507,0.03646716262742657
green,misfit,c550,1.0790893406523403,0.5090917182831317,0.20195215601171732
green,misfit,omega,0.6948219345174118,0.43961799449129607,0.17511674420171497
green,misfit,eta,0.13397583981847955,0.16949554209030526,0.04782975188230411
green,level,f_power,0.3165637707836174,0.08403506776191012,0.03276211495468093
green,level,dz,0.35489994772536976,0.20786421133994964,0.09079430878703021
green,level,pos_jitter,0.13824442813133309,0.17749439985651336,0.0463819278501719
green,level,c550,1.6127857574962903,0.749620050022646,0.31702714735898885
green,level,omega,1.2196897675431206,0.7717499111454369,0.2889311637246225
green,level,eta,0.12752246969045844,0.15125765797851512,0.03794600515550886
green,pattern,f_power,0.1385691214069202,0.18388974045223277,0.05336667925915706
green,pattern,dz,0.1813071937620766,0.18424372589290325,0.06160531628638932
green,pattern,pos_jitter,0.18682174935169465,0.17355376912378773,0.053206083645299364
green,pattern,c550,0.25638074562336294,0.24616435360341068,0.10245205715024651
green,pattern,omega,0.20880021275652116,0.2092902756654192,0.057706582433815615
green,pattern,eta,0.18546741965484978,0.22598267631482896,0.06332199403779117
red,misfit,f_power,0.2514624500745818,0.29151822932795485,0.09902193999130558
red,misfit,dz,0.7216263544273589,1.4814927430821057,0.5869922255362123
red,misfit,pos_jitter,0.3290256381826721,0.4659500690576931,0.15539771541868005
red,misfit,c550,1.0481318155846409,1.280854790690084,0.38937472424503433
red,misfit,omega,1.0971810681138157,1.3005452391862102,0.3735952020912247
red,misfit,eta,0.6861202330438675,1.37199405917633,0.5452915129417063
red,level,f_power,0.3613116626569447,0.4724519419805283,0.16057873940230719
red,level,dz,1.049548265039538,2.061848272529961,0.9966640011715039
red,level,pos_jitter,0.48510102064564053,0.7862978663472076,0.29691877843856207
red,level,c550,2.2731257355568,2.1558222686251183,0.8339467213284202
red,level,omega,2.1129936466610784,2.3020163656487465,1.020113226263667
red,level,eta,1.196855751197212,2.3451169675115677,1.048348720660102
red,pattern,f_power,0.44932872675650015,0.6610584654874427,0.18548452190595185
red,pattern,dz,0.698945435761048,1.2664924435507658,0.45315742131328623
red,pattern,pos_jitter,0.7115076741894212,1.178377283167024,0.41886184559461137
red,pattern,c550,0.9130692203937901,0.8945510014744431,0.29569915562706733
red,pattern,omega,1.204557232247209,1.948258964494956,0.6961006971039582
red,pattern,eta,0.5465342961265509,0.7802831094059157,0.2578534845972674
par,misfit,f_power,0.22911124616743384,0.14914146853144183,0.04030428877581424
par,misfit,dz,0.23405187615264259,0.234439427393665,0.06596309905192904
par,misfit,pos_jitter,0.10998328256358965,0.1374913250690717,0.04438433988511432
par,misfit,c550,1.1899290179647923,0.5283989573566058,0.22157808935836734
par,misfit,omega,0.8203328479782825,0.4746574945455566,0.20680394986097278
par,misfit,eta,0.3942196806310585,0.37800159548052875,0.0831742983642751
par,level,f_power,0.28865339511303817,0.06603045755081996,0.027677127833228718
par,level,dz,0.3085986836263782,0.18126985196214412,0.07760849131689204
par,level,pos_jitter,0.070517813741895,0.07525181258488897,0.01813384896337443
par,level,c550,1.6526686667841815,0.7594279682887102,0.3070985225195895
par,level,omega,1.2018478990573835,0.6939644789796184,0.333503769051411
par,level,eta,0.48561121715127625,0.3084414312692686,0.13482238786256473
par,pattern,f_power,0.09765072793448785,0.12670233584456744,0.033611915567930375
par,pattern,dz,0.14935403904780448,0.15360915121409852,0.05754007768857497
par,pattern,pos_jitter,0.1822302996454573,0.2165701991720969,0.06847504838292863
par,pattern,c550,0.24168273858900582,0.23821026348932015,0.0841666217000238
par,pattern,omega,0.18204364294708134,0.19765263070044953,0.05748375067719563
par,pattern,eta,0.14391749638266674,0.18928773386310102,0.04502179394624144
