band,metric,param,mu_star,sigma,mu_star_conf
blue,misfit,f_power,0.251959996749739,0.23910054209576642,0.05781058882169429
blue,misfit,dz,0.34792722797683084,0.47272852031589285,0.16542037531209586
blue,misfit,pos_jitter,0.11935301548979428,0.13775714813081058,0.03583987406579316
blue,misfit,c550,0.9206108573377558,0.7679044040712463,0.3004686885216344
blue,misfit,omega,1.0114312995632277,0.45050444641400766,0.26760483554881404
blue,misfit,eta,0.46621242548551595,0.7334659476588898,0.33436503284028163
blue,level,f_power,0.2829556868604773,0.18227756669437056,0.09535883789124497
blue,level,dz,0.38268961774767396,0.2969755818826813,0.14708389418609327
blue,level,pos_jitter,0.09876615635336998,0.10504211426392766,0.03016245346064281
blue,level,c550,1.519827873026592,0.843956513140859,0.4975047932322174
blue,level,omega,1.2789441313018775,0.6311038755085334,0.3487978101371175
blue,level,eta,0.5910479517239128,0.6630143127899932,0.37164089931245353
blue,pattern,f_power,0.1434345936712233,0.1655433470372274,0.05276002316531253
blue,pattern,dz,0.18300683891784986,0.29889600550762935,0.1250613086061183
blue,pattern,pos_jitter,0.23403102820221797,0.22790469238905242,0.0716341542515764
blue,pattern,c550,0.22979895463486746,0.290785872148906,0.1294780758687005
blue,pattern,omega,0.16189195697022332,0.20926801270220285,0.06302020024818192
blue,pattern,eta,0.1161363126803016,0.15718430221795116,0.04964394224209985
green,misfit,f_power,0.3838569127173292,0.391619040265192,0.0937659840745155
green,misfit,dz,0.29840769592470107,0.32482201530215316,0.09603124925734141
green,misfit,pos_jitter,0.180059328078364,0.17308356748784812,0.07646046429917634
green,misfit,c550,1.0889438783133858,0.6504095434400685,0.31959511220022324
green,misfit,omega,0.9803393244121211,0.5219983575503506,0.25141623093984894
green,misfit,eta,0.23706051007467377,0.32528158833690535,0.1261084492550657
green,level,f_power,0.4098109363557689,0.269695768294143,0.10094798087515637
green,level,dz,0.46515494824274356,0.2863710433614731,0.11398540395269277
green,level,pos_jitter,0.22288177544410334,0.26205328610262285,0.0800201225502173
green,level,c550,1.5380429173458703,0.8147272863284369,0.4259349269940836
green,level,omega,1.1702187101763188,0.5961911945327806,0.30789051792547384
green,level,eta,0.23820933081181994,0.2746534254770456,0.07996521523417431
green,pattern,f_power,0.1998989673052752,0.26712713488346107,0.0837217380580763
green,pattern,dz,0.3875030072098961,0.46688696935606444,0.11433547216452176
green,pattern,pos_jitter,0.24362956237840125,0.2503258477488466,0.10400352257454219
green,pattern,c550,0.23058483691315268,0.3433300621840154,0.13514273995872828
green,pattern,omega,0.1957676354155766,0.20938847116091258,0.07161845468911138
green,pattern,eta,0.30757958078724384,0.3865817376091896,0.12532424613582913
red,misfit,f_power,0.46290752968217364,0.7104376916415087,0.2731964168719126
red,misfit,dz,0.6381999813782052,0.7532530671444091,0.32586777355842195
red,misfit,pos_jitter,0.6341926990808094,0.7981450137950284,0.34300112695125384
red,misfit,c550,0.8617199990115801,0.996277601535565,0.35021942824849067
red,misfit,omega,1.2144642712356852,0.5881189053479243,0.3592618720748484
red,misfit,eta,0.8287229691756783,1.0795808300964314,0.4183965613875888
red,level,f_power,0.5892359651614086,0.9252811675956082,0.4861926290022721
red,level,dz,2.098798219497746,1.7466545504755586,0.7592189683454494
red,level,pos_jitter,1.247579654914949,1.720608942831592,0.7450561622671272
red,level,c550,2.7424135395007325,2.0456717230151984,1.0162553950450797
red,level,omega,1.4374685124996998,0.6332397812560028,0.3270454600779961
red,level,eta,1.3140558854052502,1.6796555973649945,0.6840423504562765
red,pattern,f_power,0.6759980757021508,1.0452187802105075,0.4406698208618595
red,pattern,dz,2.2722219973644298,2.3100928140138715,0.8525926386425546
red,pattern,pos_jitter,1.570394265312311,2.2508858265100935,1.1031226399425886
red,pattern,c550,1.8987225966206518,1.9115952572054127,1.043741941241634
red,pattern,omega,0.7613955552171897,0.9506599543301982,0.3179563421645544
red,pattern,eta,1.493910111956284,2.3063660425618737,0.7817645962100479
par,misfit,f_power,0.24879143660429995,0.19011518951108414,0.0631133930587001
par,misfit,dz,0.27498075605102346,0.28922910308384764,0.07117798097994726
par,misfit,pos_jitter,0.12223984204357785,0.07600109607014562,0.037344567608036505
par,misfit,c550,0.9105536986268143,0.5646110880883858,0.2635544278718733
par,misfit,omega,0.9625830778796728,0.4207842010739048,0.23830963436868724
par,misfit,eta,0.2173873085309791,0.25128955637674527,0.09082826033277659
par,level,f_power,0.31494458669293585,0.14879468865697498,0.06433915326891591
par,level,dz,0.3646703755890884,0.2751864377024879,0.1391371210530019
par,level,pos_jitter,0.11869216048850682,0.13003166642746108,0.038807674404921506
par,level,c550,1.4328401955885983,0.7512963177279032,0.3661680147273749
par,level,omega,1.1633566589384745,0.5516164731239546,0.2894084860298212
par,level,eta,0.3201326506137095,0.3128542909924981,0.17151180728013388
par,pattern,f_power,0.13263827501941786,0.18751855763331127,0.07070710936583065
par,pattern,dz,0.1706878101187103,0.2534640949565837,0.11447121289613846
par,pattern,pos_jitter,0.11717760064546114,0.13562377118224753,0.0500731732158465
par,pattern,c550,0.2517014208129442,0.27640636833423254,0.0873773061252348
par,pattern,omega,0.11951626079069085,0.17167080491336276,0.06744974681269458
par,pattern,eta,0.1528421652552041,0.2236676148764291,0.09233873160330652
