horizontal_m,vertical_m,observed_lux,simulated_lamp_lux,simulated_total_lux,total_lux_p05,total_lux_p50,total_lux_p95,observed_equivalent_irradiance_W_m2,lamp_irradiance_W_m2,total_equivalent_irradiance_W_m2,irradiance_p05_W_m2,irradiance_p95_W_m2,relative_error_pct
1,1,5570.2,2567.4415,2599.5499,1491.5079,2210.0621,4855.1614,18.201217,8.3893862,8.494304,4.455419,15.120329,-53.3311
2,1,216.5,221.8816,253.99007,157.04132,245.79289,582.67348,0.70743662,0.72502157,0.82993938,0.47607921,1.8212639,17.3164
3,1,85.8,35.731456,67.839925,44.121928,67.687948,149.12203,0.28036056,0.11675631,0.22167412,0.13753711,0.48099907,-20.9325
4,1,42.2,9.1809551,41.289424,26.55886,39.545376,86.459497,0.13789296,0.029999741,0.13491755,0.080839471,0.27606713,-2.15776
5,1,44.7,3.0761487,35.184617,22.212008,32.609579,70.589018,0.14606197,0.010051641,0.11496945,0.069297002,0.22944865,-21.2872
6,1,37.1,1.2135518,33.322021,20.563582,30.436018,67.749682,0.12122817,0.0039654087,0.10888322,0.062315003,0.21586612,-10.1832
7,1,37.9,0.53396763,32.642436,20.163473,28.812836,67.488131,0.12384225,0.0017447956,0.10666261,0.062229595,0.21036076,-13.8722
8,1,33.6,0.25441142,32.36288,19.720154,28.769533,63.538773,0.10979155,0.00083131618,0.10574913,0.060188134,0.20237095,-3.6819
1,2,1990.4,789.17151,821.27998,512.42377,761.35758,1783.8906,6.5038423,2.5787013,2.6836191,1.5857232,5.7226888,-58.7379
2,2,831.4,430.86666,462.97513,269.86171,398.5011,925.04822,2.7166873,1.4079023,1.5128201,0.83376792,3.0193721,-44.3138
3,2,448.4,110.77007,142.87854,87.958477,130.98751,310.98024,1.4651944,0.3619529,0.46687071,0.2689781,1.0225427,-68.1359
4,2,52.2,29.537236,61.645705,38.413841,56.812776,122.97141,0.17056901,0.096516039,0.20143385,0.12229046,0.38489708,18.0952
5,2,43.4,9.6331633,41.741632,26.552357,38.793645,83.133896,0.14181408,0.031477379,0.13639519,0.081646871,0.26044126,-3.82112
6,2,36.4,3.6638069,35.772276,22.804961,33.115462,71.065715,0.11894085,0.011971876,0.11688969,0.069008363,0.22467506,-1.72452
7,2,49,1.5553795,33.663848,21.009555,30.159191,68.579899,0.16011268,0.0050823667,0.11000018,0.064552317,0.21468217,-31.2983
8,2,34.6,0.71806835,32.826537,19.590882,28.971771,61.49194,0.11305915,0.0023463642,0.10726418,0.061717348,0.18860828,-5.12562
1,3,579.4,258.39778,290.50625,177.44891,273.19221,613.20061,1.8932507,0.84434204,0.94925985,0.54064396,1.8730833,-49.8608
2,3,312.3,229.07832,261.18679,158.37857,236.06963,522.86954,1.0204732,0.74853761,0.85345543,0.47338833,1.7298402,-16.3667
3,3,332.4,128.54722,160.65569,92.633647,139.40474,303.64266,1.0861521,0.42004164,0.52495945,0.28087951,0.97181451,-51.668
4,3,110.7,50.439741,82.54821,50.575568,72.280296,155.49864,0.36172394,0.16481718,0.269735,0.15541442,0.49233504,-25.4307
5,3,60.3,17.953519,50.061988,31.893056,46.546926,101.88483,0.19703662,0.058665021,0.16358283,0.097353581,0.3146616,-16.9785
6,3,35.1,6.9903012,39.09877,25.216019,35.740107,77.940447,0.11469296,0.022841548,0.12775936,0.077516492,0.24548845,11.3925
7,3,42.7,2.9801702,35.088639,22.127925,32.386118,71.374166,0.13952676,0.0097380209,0.11465583,0.06737518,0.22643487,-17.8252
8,3,47,1.3712566,33.479725,20.659149,30.365239,68.105041,0.15357746,0.0044807259,0.10939854,0.064409016,0.22077626,-28.7665
1,4,103.1,105.94664,138.05511,81.857442,124.73868,291.48346,0.33689014,0.34619184,0.45110965,0.25127083,0.89602921,33.9041
2,4,120.8,105.05578,137.16425,87.843832,128.37587,293.9198,0.39472676,0.34328087,0.44819868,0.27199152,0.91829915,13.5466
3,4,85.5,82.977505,115.08597,69.184271,105.30982,241.34423,0.27938028,0.27113776,0.37605557,0.21776243,0.7727048,34.6035
