depth_m,x_m,y_m,irradiance_W_m2,illuminance_lux
1,0.09947,11.24032,0,0
1,0.09947,11.43926,0,0
1,0.09947,11.63821,0,0
1,0.09947,11.83715,0,0
1,0.09947,12.03609,0,0
1,0.09947,12.23504,0,0
1,0.09947,12.43398,0,0
1,0.09947,12.63292,0,0
1,0.09947,12.83187,0,0
1,0.09947,13.03081,0,0
1,0.09947,13.22975,0,0
1,0.09947,13.42870,0,0
1,0.09947,13.62764,0,0
1,0.09947,13.82659,0,0
1,0.09947,14.02553,0,0
1,0.09947,14.22447,0,0
1,0.29842,10.04666,0,0
1,0.29842,10.24560,0,0
1,0.29842,10.44454,0,0
1,0.29842,10.64349,0,0
1,0.29842,10.84243,0,0
1,0.29842,11.04137,0,0
1,0.29842,11.24032,0,0
1,0.29842,11.43926,0,0
1,0.29842,11.63821,0,0
1,0.29842,11.83715,0,0
1,0.29842,12.03609,0,0
1,0.29842,12.23504,0,0
1,0.29842,12.43398,0,0
1,0.29842,12.63292,0,0
1,0.29842,12.83187,0,0
1,0.29842,13.03081,0,0
1,0.29842,13.22975,0,0
1,0.29842,13.42870,0,0
1,0.29842,13.62764,0,0
1,0.29842,13.82659,0,0
1,0.29842,14.02553,0,0
1,0.29842,14.22447,0,0
1,0.29842,14.42342,0,0
1,0.29842,14.62236,0,0
1,0.29842,14.82130,0,0
1,0.29842,15.02025,0,0
1,0.29842,15.21919,0,0
1,0.29842,15.41814,0,0
1,0.49736,9.25088,0,0
1,0.49736,9.44982,0,0
1,0.49736,9.64877,0,0
1,0.49736,9.84771,0,0
1,0.49736,10.04666,0,0
1,0.49736,10.24560,0,0
1,0.49736,10.44454,0,0
1,0.49736,10.64349,0,0
1,0.49736,10.84243,0,0
1,0.49736,11.04137,0,0
1,0.49736,11.24032,0,0
1,0.49736,11.43926,0,0
1,0.49736,11.63821,0,0
1,0.49736,11.83715,0,0
1,0.49736,12.03609,0,0
1,0.49736,12.23504,0,0
1,0.49736,12.43398,0,0
1,0.49736,12.63292,0,0
1,0.49736,12.83187,0,0
1,0.49736,13.03081,0,0
1,0.49736,13.22975,0,0
1,0.49736,13.42870,0,0
1,0.49736,13.62764,0,0
1,0.49736,13.82659,0,0
1,0.49736,14.02553,0,0
1,0.49736,14.22447,0,0
1,0.49736,14.42342,0,0
1,0.49736,14.62236,0,0
1,0.49736,14.82130,0,0
1,0.49736,15.02025,0,0
1,0.49736,15.21919,0,0
1,0.49736,15.41814,0,0
1,0.49736,15.61708,0,0
1,0.49736,15.81602,0,0
1,0.49736,16.01497,0,0
1,0.49736,16.21391,0,0
1,0.69630,8.65405,0,0
1,0.69630,8.85299,0,0
1,0.69630,9.05194,0,0
1,0.69630,9.25088,0,0
1,0.69630,9.44982,0,0
1,0.69630,9.64877,0,0
1,0.69630,9.84771,0,0
1,0.69630,10.04666,0,0
1,0.69630,10.24560,0,0
1,0.69630,10.44454,0,0
1,0.69630,10.64349,0,0
1,0.69630,10.84243,0,0
1,0.69630,11.04137,0,0
